policy_id,dataset,samples,predicted_delta_nll,measured_delta_nll,measured_speedup_vs_dense,raw_predicted_speedup_vs_dense,rougeL_percent,bert_score_percent,sacre_bleu,empty_predictions
point_001,cnn_dm_1000,1000,0.0,0.005825587757680051,1.115063527500725,1.3516124612894334,23.64348361151731,87.1427904844284,,0
point_001,dsum,1500,0.0,0.005825587757680051,1.115063527500725,1.3516124612894334,21.315645589800017,86.99623211622239,,0
point_001,IWSLT,333,0.0,0.005825587757680051,1.115063527500725,1.3516124612894334,44.62552313691461,,17.66568766324801,0
point_002,cnn_dm_1000,1000,0.0002641524845052669,0.009304348305709365,1.110062021431934,1.435294415184261,23.51939826089261,87.1016126036644,,0
point_002,dsum,1500,0.0002641524845052669,0.009304348305709365,1.110062021431934,1.435294415184261,21.44943198523612,87.01935931046803,,0
point_002,IWSLT,333,0.0002641524845052669,0.009304348305709365,1.110062021431934,1.435294415184261,44.65033935056601,,17.583158333412438,0
point_003,cnn_dm_1000,1000,0.0005130713241631088,0.012211078099817252,1.1721565071558635,1.5300221943302617,23.490496428129703,87.12233545184137,,0
point_003,dsum,1500,0.0005130713241631088,0.012211078099817252,1.1721565071558635,1.5300221943302617,21.302474928139343,86.97868075768153,,0
point_003,IWSLT,333,0.0005130713241631088,0.012211078099817252,1.1721565071558635,1.5300221943302617,44.75322572159643,,17.48558524613552,0
point_004,cnn_dm_1000,1000,0.000940329339317829,0.015245753880912538,1.213638315303042,1.7626937051138276,23.82561592367882,87.12140015363693,,0
point_004,dsum,1500,0.000940329339317829,0.015245753880912538,1.213638315303042,1.7626937051138276,21.73954531380346,87.06573925813039,,0
point_004,IWSLT,333,0.000940329339317829,0.015245753880912538,1.213638315303042,1.7626937051138276,43.88568258980963,,17.61348978703031,0
point_005,cnn_dm_1000,1000,0.007969930908451316,0.022388275291026938,1.2653146211110928,2.1670684138665535,23.78593384478783,87.1646872639656,,0
point_005,dsum,1500,0.007969930908451316,0.022388275291026938,1.2653146211110928,2.1670684138665535,21.26228397757845,87.15361581643423,,0
point_005,IWSLT,333,0.007969930908451316,0.022388275291026938,1.2653146211110928,2.1670684138665535,44.991108624286284,,17.799579643803305,0
point_006,cnn_dm_1000,1000,0.04282794674349971,0.033364815967780403,1.281673136001538,2.2233080541473074,24.03090004848777,87.11254224181175,,0
point_006,dsum,1500,0.04282794674349971,0.033364815967780403,1.281673136001538,2.2233080541473074,20.300102550795852,86.50554341077805,,0
point_006,IWSLT,333,0.04282794674349971,0.033364815967780403,1.281673136001538,2.2233080541473074,46.939452415431994,,18.878957129751512,0
point_008,cnn_dm_1000,1000,0.11451183908402612,0.13122158282747987,1.7867689548848371,2.4340540753907582,17.01375782342984,84.55120977163315,,0
point_008,dsum,1500,0.11451183908402612,0.13122158282747987,1.7867689548848371,2.4340540753907582,14.002173093633049,83.98620295127233,,0
point_008,IWSLT,333,0.11451183908402612,0.13122158282747987,1.7867689548848371,2.4340540753907582,20.771377276148122,,5.785243079106138,0
point_009,cnn_dm_1000,1000,0.17292649075319452,0.21203317674083944,1.8559866445730553,2.5217508385993255,18.460242619020566,85.19981065988542,,0
point_009,dsum,1500,0.17292649075319452,0.21203317674083944,1.8559866445730553,2.5217508385993255,13.573771019025024,84.24609982172649,,0
point_009,IWSLT,333,0.17292649075319452,0.21203317674083944,1.8559866445730553,2.5217508385993255,15.569602767385286,,2.6026263063506963,0
