method,model_variant,model_path,batch_size,input_tokens,output_tokens,multimodal,text_tokens,image_tokens,total_prefill_tokens,image_size,dtype,attn_implementation,input_mode,sampling,checkpoint_path,kernel_backend,nvfp4_block_size,nvfp4_backend,nvfp4_quant_backend,nvfp4_sf_layout,marlin_activation_dtype,replaced_linear_count,skipped_linear_count,compressed_module_count,packed_checkpoint_file_size_bytes,prefill_ms,decode_total_ms,first_decode_ms,decode_per_token_ms,tokens_per_sec,status
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,143.60086822509766,652.8993053436279,21.23338565826416,21.06126791431058,189.9220890344453,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,143.25553436279296,2657.8462341308596,21.087324714660646,20.927923103392594,191.13220075582015,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,220.9817672729492,649.8891794204712,21.136879920959473,20.964167078079715,190.8017611719203,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,4,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,221.0056167602539,2658.1681814193726,21.10318069458008,20.930458121412382,191.10905154569454,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,128,32,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,94.31441879272461,651.4954877853394,21.068061065673827,21.01598347694643,380.66265177528487,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,128,128,False,128,0,128,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,93.03974761962891,2670.365381813049,21.06135997772217,21.026499069394088,380.4722780334222,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,512,32,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,119.36546936035157,654.0608043670654,21.662643241882325,21.098735624744045,379.1696404128506,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,512,128,False,512,0,512,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,119.03046112060547,2671.8830686569213,21.133862495422363,21.038449359503318,380.2561616256335,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,1024,32,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,203.9050033569336,651.9551029205322,21.18284797668457,21.03080977163007,380.39429232020154,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,1024,128,False,1024,0,1024,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,203.89966583251953,2677.1767761230467,21.25314884185791,21.080132095457063,379.5042632452983,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,2048,32,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,421.1579223632813,654.3640783309936,21.243788719177246,21.108518655838505,378.993909067477,
dense,0.8B,/home/agent/wja/data/models/Qwen/Qwen3.5-0.8B,8,2048,128,False,2048,0,2048,,bf16,sdpa,random,False,,torch_dense,,,,,,,,,,421.10743103027346,2666.7013959884644,21.118294334411623,20.997648787310744,380.99503811276924,
