batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,958.9014984667301,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,893.8623424619436,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,766.5449641644955,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,757.5279325246811,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,772.9296013712883,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,924.4997408241034,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,1717.729588970542,2048,0,ours_max_speed,64,main,prefill_decode,True
8,1660.1445376873016,2048,1,ours_max_speed,64,main,prefill_decode,False
8,3128.421964123845,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1644.6059700101614,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1664.4234154373407,2048,4,ours_max_speed,64,main,prefill_decode,False
8,1698.1648672372103,2048,5,ours_max_speed,64,main,prefill_decode,False
