scenario,batch,input_seq,output_seq,policy_name,policy_hash,quality_budget,quality_cost,predicted_linear_ms,dense_linear_ms,speed_optimal_linear_ms,predicted_speedup_vs_dense,speed_gap_to_optimal_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,measured_best_method,measured_best_speedup,measured_hetero_speedup
b2_in16384_out128,2,16384,128,policy_000_4f5ae62f3f,4f5ae62f3fde0dbb01689eb73bfeb14dc44689ddc42505bed669f17fc28551d6,0.29584014634,0.216190828861,2984.417549,3479.751425,2984.417549,1.165973,0.000000,64,64,0,0,marlin_nvfp4,8.530,8.527
b2_in16384_out64,2,16384,64,policy_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,0.266931300353,2082.850423,2784.638382,2082.850423,1.336936,0.000000,32,96,0,0,hetero,6.350,6.350
b4_in16384_out128,4,16384,128,policy_000_4f5ae62f3f,4f5ae62f3fde0dbb01689eb73bfeb14dc44689ddc42505bed669f17fc28551d6,0.29584014634,0.216190828861,4421.012539,5701.399775,4421.012539,1.289614,0.000000,64,64,0,0,sparse_nvfp4,4.098,3.360
b4_in16384_out64,4,16384,64,policy_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,0.266931300353,3371.168818,4991.205924,3371.168818,1.480557,0.000000,32,96,0,0,sparse_nvfp4,3.870,3.150
b8_in16384_out128,8,16384,128,policy_002_605d24248e,605d24248ef9b701c1df4ae1a7f4756f498273d16374530f32be7fe5d3534f74,0.29584014634,0.271049145648,5215.516705,10232.730635,3465.002992,1.961978,1750.513713,54,1,73,0,sparse_nvfp4,3.605,2.824
b8_in16384_out64,8,16384,64,policy_003_23b5bafdf0,23b5bafdf0075411b006f1a952e9ece63cf106d127c8f0b84a8ad25d11546eb1,0.29584014634,0.270692073268,4499.903270,9532.331463,2726.376769,2.118341,1773.526501,53,1,74,0,sparse_nvfp4,3.473,2.717
b4_in1024_out1,4,1024,1,policy_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,0.266931300353,135.514739,277.157814,128.838131,2.045223,6.676608,32,96,0,0,sparse_nvfp4,2.470,1.858
b2_in1024_out1,2,1024,1,policy_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,0.266931300353,78.651905,148.428248,76.594977,1.887154,2.056928,32,96,0,0,sparse_nvfp4,2.455,1.945
b4_in512_out1,4,512,1,policy_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,0.266931300353,78.925499,148.663886,77.910603,1.883598,1.014896,32,96,0,0,sparse_nvfp4,2.286,1.819
b2_in4096_out1,2,4096,1,policy_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,0.266931300353,246.231015,524.741369,238.278135,2.131094,7.952880,32,96,0,0,sparse_nvfp4,2.259,1.818
b1_in4096_out1,1,4096,1,policy_001_2ac520a243,2ac520a243538ec800d394d8dfc3eda947d67e0d09e4abf5dcc45b803d919513,0.29584014634,0.266931300353,135.268498,277.010660,127.189458,2.047858,8.079040,32,96,0,0,sparse_nvfp4,2.251,1.796
b8_in512_out1,8,512,1,policy_004_4831f76351,4831f7635107311bb1beaab89e677e71484683db3da566cfa744c72445a3bd56,0.29584014634,0.267393081971,133.179881,277.004773,116.380575,2.079930,16.799306,30,83,15,0,sparse_nvfp4,2.187,1.409
b128_in256_out64,128,256,64,policy_005_023ac1246d,023ac1246d0f652ec44f55a040d31adb81e5d21a149b1bd9c8a09693888d9de2,0.29584014634,0.277551275605,1955.576829,2926.016408,1649.806504,1.496242,305.770325,62,12,54,0,sparse_bf16,1.776,1.719
b32_in4096_out16,32,4096,16,policy_006_4db717c6ec,4db717c6ecc35b9037cc71c6009f94a2c9a114a912b278fa890dce38c75c9c65,0.29584014634,0.270673371768,3962.170097,9016.012075,2172.972925,2.275524,1789.197171,53,2,73,0,sparse_nvfp4,1.734,1.366
b256_in512_out16,256,512,16,policy_006_4db717c6ec,4db717c6ecc35b9037cc71c6009f94a2c9a114a912b278fa890dce38c75c9c65,0.29584014634,0.270673371768,4037.616954,9157.438872,2218.967331,2.268031,1818.649623,53,2,73,0,sparse_nvfp4,1.732,1.388
b64_in512_out16,64,512,16,policy_007_f74a83b67c,f74a83b67ca72fd45ae228c4e6ec59b74610a55d6a84cec4cba4523de30c49cb,0.29584014634,0.267033012553,1263.081483,2283.597514,1005.895068,1.807957,257.186415,34,64,30,0,sparse_nvfp4,1.713,1.453
