method,scenario,phase,iteration,warmup,batch,input_seq,output_seq,elapsed_ms,generated_tokens
sparse_bf16,prefill_only,ttft,0,True,8,2048,1,1180.8789651840925,8
sparse_bf16,prefill_only,ttft,1,False,8,2048,1,656.4144268631935,8
sparse_bf16,prefill_only,ttft,2,False,8,2048,1,655.5512007325888,8
sparse_bf16,prefill_only,ttft,3,False,8,2048,1,648.2270285487175,8
sparse_bf16,prefill_only,ttft,4,False,8,2048,1,657.9371634870768,8
sparse_bf16,prefill_only,ttft,5,False,8,2048,1,670.1429821550846,8
sparse_bf16,prefill_only,main,0,True,8,2048,1,657.2045665234327,8
sparse_bf16,prefill_only,main,1,False,8,2048,1,657.6324962079525,8
sparse_bf16,prefill_only,main,2,False,8,2048,1,969.9361734092236,8
sparse_bf16,prefill_only,main,3,False,8,2048,1,670.1773907989264,8
sparse_bf16,prefill_only,main,4,False,8,2048,1,657.1911163628101,8
sparse_bf16,prefill_only,main,5,False,8,2048,1,660.948358476162,8
sparse_bf16,prefill_decode,ttft,0,True,16,2048,1,1774.013189598918,16
sparse_bf16,prefill_decode,ttft,1,False,16,2048,1,1298.9014349877834,16
sparse_bf16,prefill_decode,ttft,2,False,16,2048,1,1299.5085828006268,16
sparse_bf16,prefill_decode,ttft,3,False,16,2048,1,1299.7825648635626,16
sparse_bf16,prefill_decode,ttft,4,False,16,2048,1,1299.1852313280106,16
sparse_bf16,prefill_decode,ttft,5,False,16,2048,1,1298.1469463557005,16
sparse_bf16,prefill_decode,main,0,True,16,2048,80,3906.357403844595,1280
sparse_bf16,prefill_decode,main,1,False,16,2048,80,3412.2231137007475,1280
sparse_bf16,prefill_decode,main,2,False,16,2048,80,3431.7092318087816,1280
sparse_bf16,prefill_decode,main,3,False,16,2048,80,3424.8695708811283,1280
sparse_bf16,prefill_decode,main,4,False,16,2048,80,3423.929538577795,1280
sparse_bf16,prefill_decode,main,5,False,16,2048,80,3454.4077273458242,1280
