supported,reason,latency_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,source,batch_size,m,n,k,backend
True,,0.40346879959106446,0.4012160003185272,0.4094176024198532,0.3999359905719757,0.41843199729919434,manual_profile,2,2048,4096,4096,dense_bf16
True,,0.3837024003267288,0.3787200003862381,0.42406400144100187,0.3476159870624542,0.46006399393081665,manual_profile,2,2048,4096,4096,dense_nvfp4
True,,0.2667008012533188,0.2656480073928833,0.27567039132118226,0.25999999046325684,0.2773120105266571,manual_profile,2,2048,4096,4096,sparse_bf16
True,,0.4789119988679886,0.4702399969100952,0.5276031970977784,0.4564160108566284,0.5329599976539612,manual_profile,2,2048,4096,4096,sparse_nvfp4
True,,1.0347519993782044,1.0339200496673584,1.0375295877456665,1.0315519571304321,1.0432319641113281,manual_profile,2,2048,4096,11008,dense_bf16
True,,0.7388064086437225,0.7376480102539062,0.7467008173465728,0.7309120297431946,0.7508479952812195,manual_profile,2,2048,4096,11008,dense_nvfp4
True,,0.6257503926753998,0.62254399061203,0.6343743860721589,0.6156479716300964,0.6439359784126282,manual_profile,2,2048,4096,11008,sparse_bf16
True,,0.6907424032688141,0.6876640021800995,0.6961280047893523,0.6827200055122375,0.7208960056304932,manual_profile,2,2048,4096,11008,sparse_nvfp4
True,,0.9698975920677185,0.9687999784946442,0.9745311856269836,0.9653120040893555,0.9823359847068787,manual_profile,2,2048,11008,4096,dense_bf16
True,,0.3958559989929199,0.3928000032901764,0.4074528068304062,0.38809600472450256,0.4108799993991852,manual_profile,2,2048,11008,4096,dense_nvfp4
True,,0.5603071928024292,0.5574719905853271,0.5677311778068542,0.5528960227966309,0.5869119763374329,manual_profile,2,2048,11008,4096,sparse_bf16
True,,0.3961663991212845,0.39932799339294434,0.40870079696178435,0.37436801195144653,0.42048001289367676,manual_profile,2,2048,11008,4096,sparse_nvfp4
