supported,reason,latency_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,source,batch_size,m,n,k,backend
True,,0.21979520171880723,0.21796800196170807,0.22511039525270463,0.21612800657749176,0.23164799809455872,manual_profile,1,1024,4096,4096,dense_bf16
True,,0.36081919968128207,0.35208000242710114,0.38775680363178255,0.3468799889087677,0.40486401319503784,manual_profile,1,1024,4096,4096,dense_nvfp4
True,,0.1527551993727684,0.15092799812555313,0.15906239449977874,0.1491519957780838,0.16185599565505981,manual_profile,1,1024,4096,4096,sparse_bf16
True,,0.47375679314136504,0.4723840057849884,0.5275487840175629,0.4097599983215332,0.5283839702606201,manual_profile,1,1024,4096,4096,sparse_nvfp4
True,,0.530486398935318,0.5289600193500519,0.5343103766441345,0.5270400047302246,0.5407040119171143,manual_profile,1,1024,4096,11008,dense_bf16
True,,0.31262720227241514,0.3123840093612671,0.3149535983800888,0.3059520125389099,0.32396799325942993,manual_profile,1,1024,4096,11008,dense_nvfp4
True,,0.32095360159873965,0.3203840106725693,0.3229791969060898,0.3170880079269409,0.32732799649238586,manual_profile,1,1024,4096,11008,sparse_bf16
True,,0.28632639944553373,0.28543999791145325,0.2896575897932052,0.2831360101699829,0.29449599981307983,manual_profile,1,1024,4096,11008,sparse_nvfp4
True,,0.587248009443283,0.5860320031642914,0.5903680145740509,0.5819200277328491,0.5998719930648804,manual_profile,1,1024,11008,4096,dense_bf16
True,,0.2333215981721878,0.23231999576091766,0.23762240260839462,0.22681599855422974,0.24991999566555023,manual_profile,1,1024,11008,4096,dense_nvfp4
True,,0.3128096014261246,0.31067200005054474,0.31589760780334475,0.30851200222969055,0.3296639919281006,manual_profile,1,1024,11008,4096,sparse_bf16
True,,0.21883199959993363,0.2168000042438507,0.22528000026941297,0.21411199867725372,0.23535999655723572,manual_profile,1,1024,11008,4096,sparse_nvfp4
