supported,reason,latency_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,source,batch_size,m,n,k,backend
True,,1.3330623865127564,1.3306079506874084,1.3420448422431945,1.3240959644317627,1.348639965057373,manual_profile,8,8192,4096,4096,dense_bf16
True,,1.0467584013938904,1.0428640246391296,1.0604992032051086,1.0356800556182861,1.0647039413452148,manual_profile,8,8192,4096,4096,dense_nvfp4
True,,0.7095775961875915,0.7075520157814026,0.7181279838085174,0.6999679803848267,0.7274879813194275,manual_profile,8,8192,4096,4096,sparse_bf16
True,,0.989897608757019,0.9858399927616119,1.0105504155158997,0.9744319915771484,1.01363205909729,manual_profile,8,8192,4096,4096,sparse_nvfp4
True,,3.4999391794204713,3.5001440048217773,3.505961561203003,3.485568046569824,3.5184319019317627,manual_profile,8,8192,4096,11008,dense_bf16
True,,2.5772160291671753,2.5720160007476807,2.5918816566467284,2.560512065887451,2.6069440841674805,manual_profile,8,8192,4096,11008,dense_nvfp4
True,,1.7265471816062927,1.7257120013237,1.7295871496200563,1.7213120460510254,1.7386879920959473,manual_profile,8,8192,4096,11008,sparse_bf16
True,,2.437062406539917,2.4372639656066895,2.449676704406738,2.423232078552246,2.4512319564819336,manual_profile,8,8192,4096,11008,sparse_nvfp4
True,,3.22804479598999,3.2267199754714966,3.2421183824539184,3.214047908782959,3.2583041191101074,manual_profile,8,8192,11008,4096,dense_bf16
True,,1.4445984005928039,1.4420799612998962,1.4539391994476318,1.4362879991531372,1.4633280038833618,manual_profile,8,8192,11008,4096,dense_nvfp4
True,,1.6874591946601867,1.6859519481658936,1.6931967616081238,1.680832028388977,1.7002240419387817,manual_profile,8,8192,11008,4096,sparse_bf16
True,,1.2245215892791748,1.2229920029640198,1.2293503999710083,1.2190719842910767,1.234015941619873,manual_profile,8,8192,11008,4096,sparse_nvfp4
