policy_id,split,policy_kind,sample_count,token_count,avg_nll,perplexity,target_delta_nll,target_delta_log_ppl,elapsed_seconds
p00,train,uniform,100,204800,1.9755314327737294,7.210450505522224,0.0,0.0,52.611496567726135
p01,train,uniform,100,204800,2.029353365445225,7.609164418957034,0.05382193267149571,0.05382193267149571,41.65189026854932
p02,train,uniform,100,204800,2.321238457834615,10.188284256474375,0.34570702506088535,0.34570702506088535,50.657393764704466
p03,train,uniform,100,204800,3.123340931547698,22.722166175682116,1.1478094987739684,1.1478094987739684,45.38119478523731
p04,train,uniform,100,204800,2.012867029568239,7.484745601872709,0.037335596794509485,0.037335596794509485,48.87616240233183
p05,train,controlled,100,204800,1.9772586200291355,7.222915064956534,0.001727187255406104,0.001727187255406104,45.75848849862814
p06,train,controlled,100,204800,1.9815628515645793,7.254071167194963,0.006031418790849896,0.006031418790849896,51.06949220225215
p07,train,controlled,100,204800,2.0855797443931037,8.04925664067323,0.11004831161937423,0.11004831161937423,46.67639490775764
p08,train,controlled,100,204800,1.983286185957696,7.266583135583643,0.007754753183966567,0.007754753183966567,47.40912948921323
p09,train,controlled,100,204800,1.9748062579259886,7.205223563627197,-0.0007251748477408171,-0.0007251748477408171,47.22567411698401
p10,train,controlled,100,204800,1.9728270679662743,7.190977160312262,-0.002704364807455173,-0.002704364807455173,48.315373523160815
p11,train,controlled,100,204800,2.121795572697963,8.346110088877776,0.14626413992423348,0.14626413992423348,53.483528507873416
p12,train,controlled,100,204800,1.9775625980228484,7.225111005928694,0.002031165249118949,0.002031165249118949,42.720152113586664
p13,train,controlled,100,204800,1.9757321326818493,7.2118977875060075,0.00020069990811988347,0.00020069990811988347,44.10860201716423
p14,train,controlled,100,204800,1.982054832643868,7.257640911008241,0.006523399870138613,0.006523399870138613,45.32304720394313
p15,train,controlled,100,204800,2.064153605933268,7.878626651949568,0.08862217315953869,0.08862217315953869,42.78213229589164
p16,train,controlled,100,204800,1.9772850194929958,7.2231057485587185,0.0017535867192663979,0.0017535867192663979,46.792727544903755
p17,train,controlled,100,204800,1.978322854062239,7.230606028753692,0.0027914212885096212,0.0027914212885096212,45.88320274464786
p18,train,controlled,100,204800,1.9807277740925022,7.248015984407646,0.005196341318772779,0.005196341318772779,47.34967797808349
p19,train,controlled,100,204800,2.1836854548648446,8.878969072851183,0.2081540220911151,0.2081540220911151,46.78407266549766
p20,train,controlled,100,204800,1.975539025988424,7.210505256228823,7.5932146945678625e-06,7.5932146945678625e-06,47.665877759456635
p21,train,controlled,100,204800,1.9884049426378,7.303874367497333,0.012873509864070654,0.012873509864070654,44.18811517767608
p22,train,controlled,100,204800,2.4326223755925707,11.388708425975173,0.4570909428188412,0.4570909428188412,46.69303562119603
p23,train,controlled,100,204800,4.275551607444367,71.91979986712812,2.3000201746706375,2.3000201746706375,44.61472029425204
p24,train,controlled,100,204800,1.9861520244177993,7.287437857866363,0.01062059164406981,0.01062059164406981,48.83017043583095
p25,train,controlled,100,204800,1.982795055206806,7.263015169392536,0.007263622433076655,0.007263622433076655,47.046897714957595
p26,train,controlled,100,204800,2.154772272215783,8.625925592359797,0.1792408394420537,0.1792408394420537,52.701012667268515
p27,train,controlled,100,204800,2.2894723323704205,9.869728370727831,0.313940899596691,0.313940899596691,47.604145443066955
p28,train,controlled,100,204800,1.9817550387514558,7.255465440702448,0.00622360597772631,0.00622360597772631,49.15323680639267
p29,train,controlled,100,204800,1.9834795778373686,7.267988569650418,0.007948145063639167,0.007948145063639167,47.57640318199992
p30,train,controlled,100,204800,2.0968839646515742,8.140763442745241,0.12135253187784478,0.12135253187784478,47.31531093083322
p31,train,controlled,100,204800,2.2344847082336186,9.341666927705576,0.2589532754598891,0.2589532754598891,48.140929793938994
p32,train,controlled,100,204800,1.9800506640102427,7.2431099408614426,0.00451923123651321,0.00451923123651321,48.723144540563226
p33,train,controlled,100,204800,1.987122463963512,7.294513308343757,0.011591031189782663,0.011591031189782663,47.23041803948581
p34,train,controlled,100,204800,2.2739781261374197,9.717983383727944,0.29844669336369023,0.29844669336369023,49.73489218764007
p35,train,controlled,100,204800,2.42949821858968,11.35318383388824,0.4539667858159504,0.4539667858159504,46.08931288309395
p36,train,controlled,100,204800,1.9799839413548594,7.242626677455444,0.004452508581129999,0.004452508581129999,49.445690935477614
p37,train,balanced_mixed,100,204800,2.036334987271761,7.662474606589343,0.06080355449803143,0.06080355449803143,52.01658773235977
p38,train,balanced_mixed,100,204800,2.043257810325224,7.71570460076859,0.06772637755149447,0.06772637755149447,49.39473561570048
p39,train,balanced_mixed,100,204800,2.2529538057185543,9.515802195607813,0.27742237294482486,0.27742237294482486,52.66349651478231
p40,train,balanced_mixed,100,204800,2.365234403702079,10.646534112055619,0.3897029709283495,0.3897029709283495,46.13813758455217
p41,train,balanced_mixed,100,204800,2.3901080200789777,10.91467288319308,0.41457658730524827,0.41457658730524827,53.06961187906563
p42,train,balanced_mixed,100,204800,2.0424304891810054,7.709323875028437,0.066899056407276,0.066899056407276,51.96463142335415
p43,train,balanced_mixed,100,204800,2.0361621648287045,7.661150473431234,0.060630732054975045,0.060630732054975045,50.78619840182364
p44,train,balanced_mixed,100,204800,2.19754710264882,9.002903195965331,0.22201566987509036,0.22201566987509036,58.29659505188465
p45,train,balanced_mixed,100,204800,2.3624593090485018,10.617029929546373,0.3869278762747723,0.3869278762747723,44.52310075610876
p46,train,balanced_mixed,100,204800,2.4787509503714587,11.926358497019038,0.5032195175977292,0.5032195175977292,62.8980729971081
p47,train,balanced_mixed,100,204800,2.0226341892775848,7.558208485394927,0.047102756503855314,0.047102756503855314,54.68094113282859
p48,train,balanced_mixed,100,204800,2.2501296268457756,9.488965781343767,0.2745981940720461,0.2745981940720461,50.269859712570906
p49,train,balanced_mixed,100,204800,2.153436157790722,8.614408064827106,0.1779047250169925,0.1779047250169925,51.85779267735779
p50,train,balanced_mixed,100,204800,2.2923518440529715,9.89818932603606,0.3168204112792421,0.3168204112792421,40.1996342856437
p51,train,balanced_mixed,100,204800,2.559466318374682,12.928915549370009,0.5839348856009527,0.5839348856009527,51.013523016124964
p52,train,balanced_mixed,100,204800,2.0060855010640735,7.434159306298019,0.030554068290344016,0.030554068290344016,44.584367068484426
p53,train,balanced_mixed,100,204800,2.113472414148947,8.276932379219785,0.1379409813752175,0.1379409813752175,46.81173711642623
p54,holdout,balanced_mixed,100,204800,2.3228421087429845,10.204635815368865,0.347310675969255,0.347310675969255,51.84467281587422
p55,holdout,balanced_mixed,100,204800,2.2020634224988287,9.043655141518704,0.22653198972509925,0.22653198972509925,57.64874572120607
p56,holdout,balanced_mixed,100,204800,2.4654049088257772,11.768246254173999,0.4898734760520478,0.4898734760520478,38.804026236757636
p57,holdout,balanced_mixed,100,204800,2.0054967627140634,7.429783819749066,0.029965329940333962,0.029965329940333962,45.881874365732074
p58,holdout,balanced_mixed,100,204800,2.0262152179945945,7.585323167281493,0.05068378522086503,0.05068378522086503,49.83980794623494
p59,holdout,balanced_mixed,100,204800,2.1685318155720954,8.745434699406614,0.19300038279836595,0.19300038279836595,46.14208794757724
p60,holdout,balanced_mixed,100,204800,2.5676370541586606,13.034987053295033,0.5921056213849312,0.5921056213849312,44.23743675276637
p61,holdout,balanced_mixed,100,204800,2.361440053220414,10.606213972963467,0.3859086204466844,0.3859086204466844,38.142311587929726
p62,holdout,balanced_mixed,100,204800,2.184746097123329,8.888391478679203,0.20921466434959957,0.20921466434959957,42.49801320768893
p63,holdout,balanced_mixed,100,204800,2.0288171004885847,7.605084984656425,0.05328566771485521,0.05328566771485521,53.889446975663304
p64,holdout,balanced_mixed,100,204800,2.110488419163946,8.25227086772162,0.13495698639021647,0.13495698639021647,44.657789895311
p65,holdout,balanced_mixed,100,204800,2.1785184353632427,8.833209588379491,0.2029870025895133,0.2029870025895133,69.7382615916431
p66,holdout,balanced_mixed,100,204800,2.4904149470589285,12.066281950003122,0.5148835142851991,0.5148835142851991,38.40641480498016
p67,holdout,balanced_mixed,100,204800,2.0373113935652465,7.669959948791816,0.06177996079151704,0.06177996079151704,48.08300049044192
p68,holdout,balanced_mixed,100,204800,2.109386452314473,8.24318214744647,0.13385501954074375,0.13385501954074375,41.809668235480785
p69,holdout,balanced_mixed,100,204800,2.0625742842624932,7.8661935866312165,0.08704285148876378,0.08704285148876378,45.75886507332325
p70,holdout,balanced_mixed,100,204800,2.3854944514147167,10.864433271460266,0.4099630186409873,0.4099630186409873,39.05464391037822
p71,holdout,balanced_mixed,100,204800,2.5273502766713465,12.5202868489984,0.551818843897617,0.551818843897617,36.35433169826865
