method,model_key,model_path,batch,input_seq,output_seq,max_model_len,total_prompt_tokens,total_tokens,status,iters,mean_ms,median_ms,min_ms,max_ms,std_ms,input_tokens_per_s_median,total_tokens_per_s_median,error
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,2048,128,1,129,262144,264192,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,4096,128,1,129,524288,528384,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1,128,1,129,128,129,OK,3,14.494717742005983,13.39113898575306,12.988952919840813,17.10406132042408,2.2686876912826297,9558.559591994395,9633.235838806851,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,2,128,1,129,256,258,OK,3,23.35112790266673,24.69879388809204,20.42095735669136,24.93363246321678,2.540317275551981,10364.878591234552,10445.854205228572,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,4,128,1,129,512,516,OK,3,39.87725575764974,39.62516784667969,39.573509246110916,40.433090180158615,0.48205920973207467,12921.08091456077,13022.026859205776,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,8,128,1,129,1024,1032,OK,3,68.50804636875789,69.7148721665144,65.78410416841507,70.02516277134418,2.3640993841139055,14688.401028035592,14803.154161067121,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,16,128,1,129,2048,2064,OK,3,134.66709045072398,133.2037914544344,132.35914148390293,138.43833841383457,3.293188696784489,15374.937737418446,15495.054438492027,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,32,128,1,129,4096,4128,OK,3,264.28196889658767,261.9455214589834,261.6725526750088,269.2278325557709,4.28541753982944,15636.839206817169,15759.002013120427,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,64,128,1,129,8192,8256,OK,3,521.9854960838953,520.0773272663355,516.9829446822405,528.8962163031101,6.181613167724535,15751.503806288436,15874.562429775064,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,128,128,1,129,16384,16512,OK,3,1036.017748216788,1037.8302335739136,1031.2186423689127,1039.0043687075377,4.197405273777553,15786.782336817654,15910.116573824043,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,256,128,1,129,32768,33024,OK,3,2067.199478546778,2067.7604991942644,2060.811158269644,2073.026778176427,6.127103765395863,15847.096417969378,15970.901858734764,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,512,128,1,129,65536,66048,OK,3,4083.5006088018417,4087.4063689261675,4065.489323809743,4097.606133669615,16.410776657592123,16033.639448777745,16158.902256971322,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1024,128,1,129,131072,132096,OK,3,8205.450174088279,8194.244338199496,8158.460704609752,8263.64547945559,53.48025133932331,15995.617727552431,16120.583491048934,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,2048,128,16,144,262144,294912,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,4096,128,16,144,524288,589824,PRECHECK_OOM,0,nan,nan,nan,nan,nan,nan,nan,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,1,128,16,144,128,144,OK,3,169.92691904306412,153.92858535051346,153.21531519293785,202.63685658574104,28.329881734906536,831.5544491526962,935.4987552967832,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,2,128,16,144,256,288,OK,3,167.10157381991544,167.08853654563427,167.0777928084135,167.13839210569859,0.03233491299467943,1532.1218636090139,1723.6370965601407,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,4,128,16,144,512,576,OK,3,186.56112377842268,188.29364329576492,181.57107196748257,189.81865607202053,4.388266035558429,2719.1571156534937,3059.0517551101807,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,8,128,16,144,1024,1152,OK,3,222.1926742543777,222.1564818173647,221.95850126445293,222.46303968131542,0.25420891584527644,4609.363596430342,5185.5340459841345,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,16,128,16,144,2048,2304,OK,3,290.3836177041133,289.8171804845333,289.3460635095835,291.9876091182232,1.4089283670311619,7066.523787775569,7949.8392612475145,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,32,128,16,144,4096,4608,OK,3,428.302730123202,426.766412332654,423.1321308761835,435.0096471607685,6.085971782534913,9597.75624705739,10797.475777939564,
marlin_nvfp4,marlin_nvfp4,/root/wja/project/my/cospaq/fake/artifacts/exports/vllm/llama2_7b_018/uniform_marlin_nvfp4,64,128,16,144,8192,9216,OK,3,730.1881071180105,710.3948965668678,706.1464469879866,774.0229777991772,38.0214971651831,11531.61437334299,12973.066170010865,
