module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel,method,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms,batch_size,quality_formula,quality_model_variant,quality_source_method,quality_local_error_metric,quality_cost,global_coef,layer_coef,type_coef,latency_source,prefill_ms,latency_cost,supported,latency_reason,latency_gain_vs_dense,quality_delta_vs_dense
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,16,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,2.441358,2.441358,True,,0.0,0.0
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.0009343598503619432,0.00018267399560781804,0.01351569441826124,0.375,2.261615230319297,16,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,2.1464084017500377e-06,0.029496945440769196,0.6698176264762878,0.5947055816650391,latency_model,1.969835,1.969835,True,,0.47152300000000014,2.1464084017500377e-06
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_bf16,1.8804927094606683e-05,3.6764969814946954e-06,0.0019174193546260805,0.125,2.261615230319297,16,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,4.1378818012251026e-08,0.04986100643873215,0.6621958017349243,0.3408759832382202,latency_model,1.257995,1.257995,True,,1.1833630000000002,4.1378818012251026e-08
1,model.language_model.layers.0.self_attn.q_proj,0,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_nvfp4,0.000944338331464678,0.00018462485962710093,0.013587673076251906,0.375,2.261615230319297,16,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,9.682134303930217e-06,0.20809470117092133,0.5963999629020691,0.422554075717926,latency_model,1.8060494999999999,1.8060494999999999,True,,0.6353085000000003,9.682134303930217e-06
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,16,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,2.441358,2.441358,True,,0.0,0.0
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,dense_nvfp4,0.0008674150449223816,0.0002843556796674744,0.01686284909697867,0.4375,1.7465560267013305,16,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,3.5008254867366814e-06,0.029496945440769196,0.6698176264762878,0.6231246590614319,latency_model,1.969835,1.969835,True,,0.47152300000000014,3.5008254867366814e-06
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_bf16,1.431732380297035e-05,4.6934998013289525e-06,0.0021664486611339194,0.08984375,1.7465560267013305,16,global_coef_final_layer_type,final_layer_type,sparse_bf16,output_rel_mse,5.969859885196761e-08,0.04986100643873215,0.6621958017349243,0.38522979617118835,latency_model,1.257995,1.257995,True,,1.1833630000000002,5.969859885196761e-08
2,model.language_model.layers.0.self_attn.k_proj,0,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_nvfp4,0.000987557927146554,0.0003237408749463053,0.01799280064209864,0.4375,1.7465560267013305,16,global_coef_final_layer_type,final_layer_type,sparse_nvfp4,output_rel_mse,1.215289402481986e-05,0.20809470117092133,0.5963999629020691,0.302470862865448,latency_model,1.8060494999999999,1.8060494999999999,True,,0.6353085000000003,1.215289402481986e-05
3,model.language_model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0,16,global_coef_final_layer_type,dense_zero,dense_bf16,output_rel_mse,0.0,,,,latency_model,2.441358,2.441358,True,,0.0,0.0
3,model.language_model.layers.0.self_attn.v_proj,0,layers_00_07,v_proj,attention,4096,4096,16777216,dense_nvfp4,3.326092701172456e-05,0.007592560016765279,0.0871352971921556,0.0703125,0.06618705504459671,16,global_coef_final_layer_type,final_layer_type,dense_nvfp4,output_rel_mse,5.8167312335702034e-05,0.029496945440769196,0.6698176264762878,0.38775476813316345,latency_model,1.969835,1.969835,True,,0.47152300000000014,5.8167312335702034e-05
