batch_size,point_index,quality_budget,quality_cost,latency_ms,dense_latency_ms,speedup_vs_dense_linear,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4
8,0,0.0,0.0,514.1356699467561,514.1356699467561,1.0,224,0,0,0
8,1,0.00015836173143936267,0.00011184244259225807,510.3396590064982,514.1356699467561,1.0074382048764303,222,0,2,0
8,2,0.00020095486159070271,0.00010185475013140711,508.4416535363693,514.1356699467561,1.011198957384359,221,0,3,0
8,3,0.0002550038827556091,0.00010185475013140711,508.4416535363693,514.1356699467561,1.011198957384359,221,0,3,0
8,4,0.00032358998287327284,0.00013525029092250577,506.5436480662404,514.1356699467561,1.0149878927699494,220,0,4,0
8,5,0.00041062306928195906,0.00018052569498515928,504.64564259611143,514.1356699467561,1.0188053290261736,219,0,5,0
8,6,0.0005210646619199259,0.00029943670361400905,502.48765636584614,514.1356699467561,1.02318069595013,218,1,5,0
8,7,0.0006612107361052634,0.0004474953813277847,500.32967013558084,514.1356699467561,1.0275938059148764,217,2,5,0
8,8,0.0008390506389935353,0.0005288614107387823,498.4316646654519,514.1356699467561,1.0315068371345244,216,2,6,0
8,9,0.0010647225405659227,0.000698676384857541,495.87683419532294,514.1356699467561,1.0368213122540044,214,2,8,0
8,10,0.0013510913831720317,0.0009223933419920358,493.0620229650577,514.1356699467561,1.0427403571967901,212,3,9,0
8,11,0.0017144822769615178,0.001259861564027627,489.40287550452706,514.1356699467561,1.0505366757739867,211,5,8,0
8,12,0.002175611150086711,0.001567548830360095,485.9312392742617,514.1356699467561,1.0580420199257363,208,6,10,0
8,13,0.0027607657075173495,0.0021382140142220253,481.6152668137311,514.1356699467561,1.0675236135020665,206,8,10,0
8,14,0.003503304021722814,0.0026653720683616666,475.9856443532005,514.1356699467561,1.0801495298149093,202,10,12,0
8,15,0.004445556185807598,0.0035067033733921747,469.5116856624046,514.1356699467561,1.0950433943329747,199,13,12,0
8,16,0.005641237437181772,0.004565744916536525,460.87974074134337,514.1356699467561,1.1155527668014837,195,17,12,0
8,17,0.007158510317394619,0.0059817143336166395,451.8011005804185,514.1356699467561,1.1379690516164256,189,22,13,0
8,18,0.009083870433548996,0.008095303725219067,440.6071107246457,514.1356699467561,1.1668801011885204,186,25,13,0
8,19,0.011527077338003762,0.010189520187954106,426.6119418172348,514.1356699467561,1.205160051912043,179,32,13,0
8,20,0.014627411622427474,0.013257383517982226,409.7165413513226,514.1356699467561,1.2548570000396848,170,41,13,0
8,21,0.0185616149261457,0.017099134831486743,391.0241481329899,514.1356699467561,1.3148437824149295,160,51,13,0
8,22,0.02355396549709852,0.022023587958020986,368.00812697628174,514.1356699467561,1.3970769454770557,149,62,13,0
8,23,0.02988906368578077,0.028139219746889717,342.57477600023026,514.1356699467561,1.5007983832014842,133,74,17,0
8,24,0.037928056238458276,0.036113344548777904,317.5686377309419,514.1356699467561,1.6189749517468237,116,82,26,0
8,25,0.048129224292563375,0.04523485357975231,293.7290294781673,514.1356699467561,1.7503740466516318,69,117,38,0
8,26,0.06107410873998516,0.05853319593115878,270.9409507817245,514.1356699467561,1.897593067653159,51,84,89,0
8,27,0.07750066229427832,0.0747980998543269,251.25514505865826,514.1356699467561,2.046269220981427,30,64,123,7
8,28,0.09834531817112577,0.09554017806667876,231.33460728323402,514.1356699467561,2.222476247651417,4,54,155,11
8,29,0.12479637360330023,0.12238771580672736,215.11566520271893,514.1356699467561,2.3900429076713183,0,1,160,63
8,30,0.15836173143936266,0.12290974999584213,214.86012375886287,514.1356699467561,2.3928854780134525,0,0,160,64
