policy_id,dense_nvfp4_modules,predicted_delta_nll,raw_predicted_linear_ms
bridge_dense_nvfp4_072,72,0.015063349906830593,707.1064021757118
bridge_dense_nvfp4_088,88,0.019985168287228447,672.41100249843
bridge_dense_nvfp4_104,104,0.03740216238345755,557.9098340188501
bridge_dense_nvfp4_120,120,0.04707242238519659,531.4984268767209
