point_index,policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,corrected_e2e_prediction_ms,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,count_w4a16_ours,measured_e2e_ms,measured_runs_ms,measured_delta_nll
0,point_000,0.0,0.0,1091.376545363557,1294.8220781981945,128,0,0,0,0,1294.2030411213636,"[1294.7473637759686, 1292.0044027268887, 1294.2030411213636, 1295.3339479863644, 1291.5598843246698]",0.0
3,point_003,0.02,0.0,963.320305433023,1241.2358027942828,118,10,0,0,0,1184.738863259554,"[1184.7479920834303, 1184.6689712256193, 1184.738863259554, 1201.3278733938932, 1183.5586745291948]",0.014070382253547953
5,point_005,0.06,0.020040028328080994,707.207825571955,1128.9853635958884,98,30,0,0,0,947.7773569524288,"[946.1550954729319, 949.0777086466551, 947.7773569524288, 947.0959678292274, 949.1056464612484]",0.030039326927538523
7,point_007,0.12,0.02647614738530272,602.3592965883962,1068.4631735773976,68,60,0,0,0,825.9119559079409,"[825.9119559079409, 825.6695363670588, 826.2906577438116, 834.6406556665897, 824.2988772690296]",0.05722188330800271
8,point_008,0.18,0.05337955556839753,538.8714520770983,1031.8157982958646,38,64,26,0,0,792.9017581045628,"[794.5414334535599, 788.4360942989588, 792.9017581045628, 792.8553391247988, 794.5913299918175]",0.12017535235398191
9,point_009,0.25,0.1279183912278142,483.9950661886728,667.2258265670243,31,43,54,0,0,788.6040043085814,"[787.4082420021296, 786.7294549942017, 788.6040043085814, 790.1898436248302, 805.607644841075]",0.22548827555591955
10,point_010,0.35,0.19619378812261407,451.75722632402835,644.4332432001829,8,53,67,0,0,783.9925717562437,"[785.944988951087, 780.354805290699, 787.7621799707413, 783.9925717562437, 779.353491961956]",0.28661452959267675
11,point_011,0.5,0.3603585865847236,427.04978694804817,644.4332432001829,6,28,88,6,0,768.4558480978012,"[773.0352412909269, 768.4558480978012, 764.8837249726057, 768.1922279298306, 777.0259082317352]",0.3901302356751757
12,point_012,0.7,0.5604750872335236,405.92291442541773,644.4332432001829,0,20,91,17,0,753.5516638308764,"[777.8953406959772, 753.5516638308764, 749.2841612547636, 753.2562799751759, 757.9130250960588]",0.5773856542204665
14,point_014,1.3,0.9264861614968349,380.32433098546716,644.4332432001829,0,0,96,32,0,739.6667264401913,"[746.2834101170301, 739.7614661604166, 739.6667264401913, 738.3794095367193, 739.1426917165518]",1.0074108148843688
,bridge_dense_nvfp4_072,bridge_dense_nvfp4,0.015063349906830593,707.1064021757118,,56,72,0,0,0,902.9218778014183,"[893.1089341640472, 900.7479641586542, 913.8272553682327, 915.2169264853001, 902.9218778014183]",0.055927098599004355
,bridge_dense_nvfp4_088,bridge_dense_nvfp4,0.019985168287228447,672.41100249843,,40,88,0,0,0,858.3439588546753,"[832.739494740963, 858.3439588546753, 858.6240336298943, 854.0006577968597, 867.4295637756586]",0.07023569913437622
,bridge_dense_nvfp4_104,bridge_dense_nvfp4,0.03740216238345755,557.9098340188501,,24,104,0,0,0,742.6576372236013,"[750.1171976327896, 742.7099384367466, 742.6329087466002, 741.704510524869, 742.6576372236013]",0.08091392868555958
,bridge_dense_nvfp4_120,bridge_dense_nvfp4,0.04707242238519659,531.4984268767209,,8,120,0,0,0,705.2054572850466,"[683.7247684597969, 699.1871781647205, 709.5090206712484, 726.5324089676142, 705.2054572850466]",0.0931075426821526
