m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,dense_flops,effective_work,bytes_activation,bytes_weight,bytes_scale,bytes_output,bytes_total,arithmetic_intensity
8,4096,4096,0.139768,0.139768,0.0,0.139768,0.139768,1,1.920579,0.139768,0.139768,0.0,268435456.0,268435456.0,81920.0,8388608.0,1050624.0,65536.0,9586688.0,28.000854518265328
8,4096,14336,0.177537,0.177537,0.0,0.177537,0.177537,1,5.291996,0.177537,0.177537,0.0,939524096.0,939524096.0,286720.0,29360128.0,3677184.0,65536.0,33389568.0,28.1382525224645
8,6144,4096,0.139853,0.139853,0.0,0.139853,0.139853,1,2.879121,0.139853,0.139853,0.0,402653184.0,402653184.0,81920.0,12582912.0,1574912.0,98304.0,14338048.0,28.08284530781317
8,28672,4096,0.203088,0.203088,0.0,0.203088,0.203088,1,9.252384,0.203088,0.203088,0.0,1879048192.0,1879048192.0,81920.0,58720256.0,7342080.0,458752.0,66603008.0,28.212662587251316
16384,4096,4096,2.109897,2.109897,0.0,2.109897,2.109897,1,260.560523,2.109897,2.109897,0.0,549755813888.0,549755813888.0,167772160.0,8388608.0,5242880.0,134217728.0,315621376.0,1741.8205980066446
16384,4096,14336,6.821392,6.821392,0.0,6.821392,6.821392,1,282.075178,6.821392,6.821392,0.0,1924145348608.0,1924145348608.0,587202560.0,29360128.0,18350080.0,134217728.0,769130496.0,2501.7150647580097
16384,6144,4096,2.377274,2.377274,0.0,2.377274,2.377274,1,346.882126,2.377274,2.377274,0.0,824633720832.0,824633720832.0,167772160.0,12582912.0,5767168.0,201326592.0,387448832.0,2128.3680649526386
16384,28672,4096,4.927279,4.927279,0.0,4.927279,4.927279,1,781.017385,4.927279,4.927279,0.0,3848290697216.0,3848290697216.0,167772160.0,58720256.0,11534336.0,939524096.0,1177550848.0,3268.046304541407
