m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,dense_flops,effective_work,bytes_activation,bytes_weight,bytes_scale,bytes_output,bytes_total,arithmetic_intensity
16384,4096,4096,1.967768,1.967768,0.0,1.967768,1.967768,1,279.380447,1.967768,1.967768,0.0,549755813888.0,274877906944.0,167772160.0,4194304.0,2621440.0,134217728.0,308805632.0,890.132427843803
16384,4096,11008,4.998435,4.998435,0.0,4.998435,4.998435,1,295.586256,4.998435,4.998435,0.0,1477468749824.0,738734374912.0,450887680.0,11272192.0,7045120.0,134217728.0,603422720.0,1224.2402389356503
16384,12288,4096,2.549657,2.549657,0.0,2.549657,2.549657,1,646.858484,2.549657,2.549657,0.0,1649267441664.0,824633720832.0,167772160.0,12582912.0,3670016.0,402653184.0,586678272.0,1405.597855227882
16384,22016,4096,3.313528,3.313528,0.0,3.313528,3.313528,1,891.779763,3.313528,3.313528,0.0,2954937499648.0,1477468749824.0,167772160.0,22544384.0,4915200.0,721420288.0,916652032.0,1611.8098234074498
32768,4096,4096,3.770255,3.770255,0.0,3.770255,3.770255,1,291.627894,3.770255,3.770255,0.0,1099511627776.0,549755813888.0,335544320.0,4194304.0,4718592.0,268435456.0,612892672.0,896.9854576561163
32768,4096,11008,9.852858,9.852858,0.0,9.852858,9.852858,1,299.906639,9.852858,9.852858,0.0,2954937499648.0,1477468749824.0,901775360.0,11272192.0,12681216.0,268435456.0,1194164224.0,1237.2408418626349
32768,12288,4096,4.923454,4.923454,0.0,4.923454,4.923454,1,669.963525,4.923454,4.923454,0.0,3298534883328.0,1649267441664.0,335544320.0,12582912.0,5767168.0,805306368.0,1159200768.0,1422.7625508819538
32768,22016,4096,6.237446,6.237446,0.0,6.237446,6.237446,1,947.483093,6.237446,6.237446,0.0,5909874999296.0,2954937499648.0,335544320.0,22544384.0,7012352.0,1442840576.0,1807941632.0,1634.420850400551
