module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.0.self_attn.o_proj,dense_bf16,sparse_bf16,-0.396883,8.645260211249736e-05
model.language_model.layers.6.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.000446447134595534
model.language_model.layers.7.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.00043776502042207425
model.language_model.layers.8.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.0004312926099810385
model.language_model.layers.9.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.00041978536142348234
model.language_model.layers.11.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.0004513444751372976
model.language_model.layers.12.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.00044793263505848383
model.language_model.layers.13.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.00045451534792669186
model.language_model.layers.14.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.00046899385243484375
model.language_model.layers.15.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.0004584648979828286
model.language_model.layers.16.mlp.up_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.0004689844348580585
model.language_model.layers.24.mlp.gate_proj,dense_nvfp4,dense_bf16,1.1636479660866144,-0.00040614311938842957
model.language_model.layers.27.mlp.up_proj,dense_nvfp4,dense_bf16,1.1636479660866144,-0.0004142362567460684
model.language_model.layers.31.self_attn.k_proj,dense_bf16,dense_nvfp4,-0.346018,9.490602599386487e-05
