module_name,from_method,to_method,latency_delta_ms,quality_delta
model.language_model.layers.2.self_attn.q_proj,dense_bf16,dense_nvfp4,-0.346018,4.7938897317307386e-05
model.language_model.layers.2.self_attn.k_proj,dense_bf16,dense_nvfp4,-0.346018,3.704660184822195e-05
model.language_model.layers.7.mlp.gate_proj,dense_nvfp4,dense_bf16,1.1636479660866144,-0.00023980010397709104
model.language_model.layers.8.mlp.gate_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.0002683372922940899
model.language_model.layers.9.mlp.gate_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.0002520924583674354
model.language_model.layers.10.mlp.gate_proj,dense_bf16,dense_nvfp4,-1.1636479660866144,0.0002646440260859778
