model,scenario,linear_group,n,k,count,prefill_backend,decode_backend,prefill_ms,decode_ms,conversion_ms,weighted_total_ms
Llama-2-7B,normal_01,mlp.down_proj,4096,11008,32,marlin_nvfp4,marlin_nvfp4,6.2401087284088135,0.036332800053060055,0.0,236.88826656341553
Llama-2-7B,normal_01,mlp.gate_proj,11008,4096,32,dense_nvfp4,marlin_nvfp4,2.837507176399231,0.14229440204799176,0.0,236.50969734191895
Llama-2-7B,normal_01,mlp.up_proj,11008,4096,32,dense_nvfp4,marlin_nvfp4,2.8059807777404786,0.10615359917283058,0.0,198.49267044067383
Llama-2-7B,normal_01,self_attn.k_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,2.384710431098938,0.03390399999916553,0.0,111.02842979431152
Llama-2-7B,normal_01,self_attn.o_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,2.3850175619125364,0.030371200107038022,0.0,107.4206708908081
Llama-2-7B,normal_01,self_attn.q_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,2.3850943803787232,0.030304000526666642,0.0,107.35431671142578
Llama-2-7B,normal_01,self_attn.v_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,2.383718395233154,0.029248000122606754,0.0,106.22894077301025
Llama-2-7B,normal_01,__TOTAL__,,,,,,,,,1103.922992515564
