name,n,k,count,selected_prefill_backend,selected_decode_backend,selected_total_ms,selected_prefill_ms,selected_decode_ms,selected_conversion_ms,reason
mlp.down_proj,4096,11008,32,marlin_nvfp4,marlin_nvfp4,236.88826656341553,6.2401087284088135,0.036332800053060055,0.0,
mlp.gate_proj,11008,4096,32,dense_nvfp4,marlin_nvfp4,236.50969734191895,2.837507176399231,0.14229440204799176,0.0,
mlp.up_proj,11008,4096,32,dense_nvfp4,marlin_nvfp4,198.49267044067383,2.8059807777404786,0.10615359917283058,0.0,
self_attn.k_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,111.02842979431152,2.384710431098938,0.03390399999916553,0.0,
self_attn.o_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,107.4206708908081,2.3850175619125364,0.030371200107038022,0.0,
self_attn.q_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,107.35431671142578,2.3850943803787232,0.030304000526666642,0.0,
self_attn.v_proj,4096,4096,32,marlin_nvfp4,marlin_nvfp4,106.22894077301025,2.383718395233154,0.029248000122606754,0.0,
