candidate,prefill_backend,decode_backend,supported,reason,prefill_ms,decode_ms,total_ms,weighted_total_ms,online_conversion_ms,model,scenario,linear_group,n,k,count
dense_bf16,dense_bf16,dense_bf16,True,,8.431174564361573,0.10955200120806693,11.936838603019716,381.9788352966309,0.0,Llama-3.1-8B,normal_01,mlp.down_proj,4096,14336,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,7.9649440288543705,3.943999896943569,134.17294073104858,4293.534103393555,0.0,Llama-3.1-8B,normal_01,mlp.down_proj,4096,14336,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,6.679721546173096,0.2107008010149002,13.422147178649903,429.5087097167969,0.0,Llama-3.1-8B,normal_01,mlp.down_proj,4096,14336,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,6.528166389465332,0.2707648009061813,15.192640018463134,486.1644805908203,0.0,Llama-3.1-8B,normal_01,mlp.down_proj,4096,14336,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,8.12046413421631,0.044515200704336164,9.544950556755067,305.43841781616214,0.0,Llama-3.1-8B,normal_01,mlp.down_proj,4096,14336,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,6.684668779373169,0.1598720010370016,11.80057281255722,377.61833000183105,0.0,Llama-3.1-8B,normal_01,mlp.down_proj,4096,14336,32
dense_bf16,dense_bf16,dense_bf16,True,,8.021430397033692,0.10637439936399459,11.425411176681518,365.61315765380857,0.0,Llama-3.1-8B,normal_01,mlp.gate_proj,14336,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,8.088035058975219,3.9642368376255037,134.94361386299133,4318.1956436157225,0.0,Llama-3.1-8B,normal_01,mlp.gate_proj,14336,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,3.203983998298645,0.20597759932279586,9.795267176628112,313.4485496520996,0.0,Llama-3.1-8B,normal_01,mlp.gate_proj,14336,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.6208799839019776,0.2404799997806549,10.316239976882935,330.1196792602539,0.0,Llama-3.1-8B,normal_01,mlp.gate_proj,14336,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,8.418508625030517,0.04459840022027493,9.845657432079316,315.0610378265381,0.0,Llama-3.1-8B,normal_01,mlp.gate_proj,14336,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,3.223177599906921,0.16001920476555825,8.343792152404784,267.0013488769531,0.0,Llama-3.1-8B,normal_01,mlp.gate_proj,14336,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,8.053020858764649,0.09992320090532303,11.250563287734986,360.01802520751954,0.0,Llama-3.1-8B,normal_01,mlp.up_proj,14336,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,7.888150358200074,3.7769632495939733,128.75097434520723,4120.031179046631,0.0,Llama-3.1-8B,normal_01,mlp.up_proj,14336,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,3.2188704013824463,0.2040352001786232,9.747996807098389,311.93589782714844,0.0,Llama-3.1-8B,normal_01,mlp.up_proj,14336,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,2.6282655954360963,0.23872319906949996,10.267407965660095,328.557054901123,0.0,Llama-3.1-8B,normal_01,mlp.up_proj,14336,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,8.424841690063477,0.044937600195407865,9.86284489631653,315.61103668212894,0.0,Llama-3.1-8B,normal_01,mlp.up_proj,14336,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,3.2256256341934204,0.17247679457068443,8.744883060455322,279.8362579345703,0.0,Llama-3.1-8B,normal_01,mlp.up_proj,14336,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,0.7763295948505402,0.0471680011600256,2.2857056319713593,73.1425802230835,0.0,Llama-3.1-8B,normal_01,self_attn.k_proj,1024,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.069190284609794,3.7359200820326803,123.61863290965556,3955.796253108978,0.0,Llama-3.1-8B,normal_01,self_attn.k_proj,1024,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.6686943888664245,0.1829503983259201,7.523107135295868,240.73942832946778,0.0,Llama-3.1-8B,normal_01,self_attn.k_proj,1024,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.6272096037864685,0.234934401512146,9.14511045217514,292.6435344696045,0.0,Llama-3.1-8B,normal_01,self_attn.k_proj,1024,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,0.6397728085517883,0.04279359951615334,2.009167993068695,64.29337577819824,0.0,Llama-3.1-8B,normal_01,self_attn.k_proj,1024,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,1.6721343994140625,0.15549760423600673,6.648057734966278,212.7378475189209,0.0,Llama-3.1-8B,normal_01,self_attn.k_proj,1024,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.473964810371399,0.049436799809336664,4.055942404270172,129.7901569366455,0.0,Llama-3.1-8B,normal_01,self_attn.o_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.965795385837555,3.744979088008404,124.80512620210648,3993.7640384674073,0.0,Llama-3.1-8B,normal_01,self_attn.o_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.0194655895233153,0.1830047994852066,7.875619173049927,252.01981353759766,0.0,Llama-3.1-8B,normal_01,self_attn.o_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8671647906303406,0.2350592002272606,9.389059197902679,300.4498943328857,0.0,Llama-3.1-8B,normal_01,self_attn.o_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3946943998336794,0.041993600130081174,3.738489603996277,119.63166732788086,0.0,Llama-3.1-8B,normal_01,self_attn.o_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0280287981033327,0.16433599926531314,7.286780774593353,233.1769847869873,0.0,Llama-3.1-8B,normal_01,self_attn.o_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,2.4800672054290773,0.04917760007083416,4.05375040769577,129.72001304626465,0.0,Llama-3.1-8B,normal_01,self_attn.q_proj,4096,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,5.002448153495789,3.938291296362877,131.02776963710784,4192.888628387451,0.0,Llama-3.1-8B,normal_01,self_attn.q_proj,4096,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,2.018281602859497,0.18581439852714537,7.964342355728149,254.85895538330078,0.0,Llama-3.1-8B,normal_01,self_attn.q_proj,4096,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.8666048049926758,0.2419071987271309,9.607635164260865,307.44432525634767,0.0,Llama-3.1-8B,normal_01,self_attn.q_proj,4096,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,2.3970975637435914,0.042432000115513804,3.754921567440033,120.15749015808106,0.0,Llama-3.1-8B,normal_01,self_attn.q_proj,4096,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,2.0279615998268126,0.15751040503382682,7.068294560909271,226.18542594909667,0.0,Llama-3.1-8B,normal_01,self_attn.q_proj,4096,4096,32
dense_bf16,dense_bf16,dense_bf16,True,,0.7851007997989654,0.03978239968419075,2.0581375896930694,65.86040287017822,0.0,Llama-3.1-8B,normal_01,self_attn.v_proj,1024,4096,32
sparse_bf16,sparse_bf16,sparse_bf16,True,,4.061110565066338,3.7029856465756894,122.5566512554884,3921.812840175629,0.0,Llama-3.1-8B,normal_01,self_attn.v_proj,1024,4096,32
dense_nvfp4,dense_nvfp4,dense_nvfp4,True,,1.6616704225540162,0.18415679782629013,7.5546879529953,241.7500144958496,0.0,Llama-3.1-8B,normal_01,self_attn.v_proj,1024,4096,32
sparse_nvfp4,sparse_nvfp4,sparse_nvfp4,True,,1.6661120057106018,0.34968320429325106,12.855974543094636,411.39118537902834,0.0,Llama-3.1-8B,normal_01,self_attn.v_proj,1024,4096,32
marlin_nvfp4,marlin_nvfp4,marlin_nvfp4,True,,0.6415488064289093,0.04121600016951561,1.9604608118534088,62.73474597930908,0.0,Llama-3.1-8B,normal_01,self_attn.v_proj,1024,4096,32
dense_nvfp4_prefill_marlin_decode,dense_nvfp4,marlin_nvfp4,True,,1.6753728151321412,0.15632319673895836,6.677715110778809,213.6868835449219,0.0,Llama-3.1-8B,normal_01,self_attn.v_proj,1024,4096,32
