method,rows,supported_rows,latency_sum_ms,quality_sum,latency_mean_ms,quality_mean,latency_gain_sum_vs_dense,latency_gain_mean_vs_dense,prefill_sum_ms,decode_sum_ms,conversion_sum_ms,note
dense_bf16,224,224,4176.543776162816,0.0,18.645284715012572,0.0,0.0,0.0,984.6786566709227,12.468223123015207,0.0,
dense_nvfp4,224,224,8589.788253707984,16.530083108272944,38.347268989767784,0.0737950138762185,-4413.244477545168,-19.701984274755215,606.0213452102125,31.18658948631942,0.0,
sparse_bf16,224,0,,,,,,,,,,all rows unsupported
sparse_nvfp4,224,0,,,,,,,,,,all rows unsupported
marlin_nvfp4,224,224,3049.529572581275,16.530083108272944,13.613971306166404,0.0737950138762185,1127.0142035815413,5.031313408846167,938.8198111066372,8.244960005760301,0.0,
dense_nvfp4_prefill_marlin_decode,224,224,2836.423634551294,16.530083108272944,12.662605511389705,0.0737950138762185,1340.1201416115218,5.982679203622865,606.0213452102125,8.244960005760301,119.69252786644424,
