timestamp,model,method,hybrid_scheme,task,speed_scope,runtime_dtype,device,batch_size,input_c,input_h,input_w,warmup,iters,latency_mean_ms,latency_p50_ms,latency_p90_ms,latency_min_ms,latency_max_ms,images_per_sec,model_path,memory_path,backbone_path,torch_version,cuda_version,kernel_backend,sparse_nvfp4_module_count,sparse_bf16_module_count,sparse_pattern,sparse_nvfp4_prune_on_convert,sparse_bf16_prune_on_convert,sparse_nvfp4_token_pad_multiple,sparse_bf16_token_pad_multiple,replaced_linear_count,skipped_linear_count
2026-05-27T23:48:58,MIRROR-DINOv3-Huge,hybrid_cutlass,dino_b32_like,forward_speed,random_input_detector_forward_only,bfloat16,NVIDIA GeForce RTX 5090,16,3,224,224,10,50,46.362090,46.288176,46.660489,45.727360,49.346306,345.110,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,2.9.0+cu128,12.8,cutlass_hybrid_sparse_nvfp4_sparse_bf16,64,160,pairwise_4to8_and_2to4,True,True,32,8,224,0
2026-05-27T23:49:32,MIRROR-DINOv3-Huge,hybrid_cutlass,dino_b32_like,forward_speed,random_input_detector_forward_only,bfloat16,NVIDIA GeForce RTX 5090,32,3,224,224,10,50,70.510361,70.396080,70.435513,70.330818,73.458275,453.834,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,2.9.0+cu128,12.8,cutlass_hybrid_sparse_nvfp4_sparse_bf16,64,160,pairwise_4to8_and_2to4,True,True,32,8,224,0
2026-05-27T23:50:05,MIRROR-DINOv3-Huge,hybrid_cutlass,dino_b32_like,forward_speed,random_input_detector_forward_only,bfloat16,NVIDIA GeForce RTX 5090,64,3,224,224,10,50,145.218031,144.923759,146.922305,144.666397,147.668640,440.717,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/checkpoint-h-cur.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/mirror_phase1.pth,/data/home/scxj523/run/wja/data/models/facebook/MIRROR/weight/dinov3-huge,2.9.0+cu128,12.8,cutlass_hybrid_sparse_nvfp4_sparse_bf16,64,160,pairwise_4to8_and_2to4,True,True,32,8,224,0
