status,method,model_path,scenario,batch,input_seq,output_seq,e2e_median_ms,e2e_mean_ms,e2e_min_ms,e2e_max_ms,e2e_std_ms,ttft_median_ms,ttft_mean_ms,tpot_ms,requests_per_s,prompt_tokens_per_s,output_tokens_per_s,total_tokens_per_s
OK,dense_bf16,/root/data/model/Llama-2-7b-chat-hf,prefill_only,8,2048,1,648.9348739851266,648.6124068265781,645.5928110517561,651.2975170044228,2.1733610494513576,647.5939870579168,648.4882690012455,0.0,12.32789347700145,25247.52584089897,12.32789347700145,25259.85373437597
OK,dense_bf16,/root/data/model/Llama-2-7b-chat-hf,prefill_decode,16,2048,80,3140.4508099658415,3141.024574195035,3139.500242075883,3143.36814195849,1.4043938727274574,1290.920628933236,1290.840716403909,23.411774443450703,5.094809939141837,10434.170755362482,407.58479513134694,10841.755550493828
OK,dense_nvfp4,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_dense_nvfp4,prefill_only,8,2048,1,573.1066250009462,573.9415062125772,571.5342879993841,578.0965319136158,2.2445884415182222,572.4399469327182,572.1429719822481,0.0,13.959008064139534,28588.048515357765,13.959008064139534,28602.007523421904
OK,dense_nvfp4,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_dense_nvfp4,prefill_decode,16,2048,80,3599.333729944192,3600.221366994083,3590.9089599736035,3616.241014096886,8.957917142489997,1162.6862309640273,1161.4965781802312,30.84363922759702,4.445267152331574,9103.907127975064,355.6213721865259,9459.528500161588
OK,sparse_bf16,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_sparse_bf16,prefill_only,8,2048,1,482.3970239376649,485.1770381676033,480.162504944019,497.9999290080741,6.50456531411181,480.7141199707985,554.7594798030332,0.0,16.583850237504276,33963.72528640876,16.583850237504276,33980.30913664626
OK,sparse_bf16,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_sparse_bf16,prefill_decode,16,2048,80,2719.01090699248,2771.154035977088,2716.4534509647638,2896.3444989640266,71.0817857229904,957.6522080460563,998.2085850089788,22.295679733499036,5.884492761265798,12051.441175072354,470.7594209012638,12522.200595973616
OK,sparse_nvfp4,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_sparse_nvfp4,prefill_only,8,2048,1,515.7764690229669,516.0966009832919,509.5531779807061,525.9493429912254,6.072828914249004,512.5887180911377,516.0645383875817,0.0,15.510595152109914,31765.698871521105,15.510595152109914,31781.209466673216
OK,sparse_nvfp4,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_sparse_nvfp4,prefill_decode,16,2048,80,3769.7224989533424,3774.837477155961,3760.2005099179223,3793.925147037953,12.102837463436117,1031.2052819645032,1034.8448933800682,34.6647748985929,4.244344246676612,8692.417017193702,339.547539734129,9031.964556927831
OK,marlin_nvfp4,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_marlin_nvfp4,prefill_only,8,2048,1,703.3483599079773,703.6819284083322,703.1581120099872,704.7785230679438,0.6169830838907845,705.3573180455714,705.590887600556,0.0,11.374164576208981,23294.289052075994,11.374164576208981,23305.6632166522
OK,marlin_nvfp4,/root/workspaces/cospaq/fake/artifacts/exports/vllm/baselines/llama2-7b-chat/checkpoints/uniform_marlin_nvfp4,prefill_decode,16,2048,80,2744.2617169581354,2744.584274990484,2742.614796035923,2747.567637008615,1.7850062209301316,1404.9791410798207,1408.5897982353345,16.95294399845968,5.830347703766071,11940.552097312913,466.4278163012857,12406.9799136142
