phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count,backend
decode,dense_nvfp4,0,down_proj,16,0.01395587983549305,3.6915421799221806e-05,41943040,canonical_phase_wrapper
decode,dense_nvfp4,0,gate_up_proj,16,0.009676261699773916,0.0005051460434536471,225443840,canonical_phase_wrapper
decode,dense_nvfp4,0,o_proj,16,0.01287275886670606,1.614672809733264e-05,41943040,canonical_phase_wrapper
decode,dense_nvfp4,0,qkv_proj,16,0.002455301191676661,0.0028967358296767996,125829120,canonical_phase_wrapper
decode,dense_nvfp4,1,down_proj,16,0.015638112396826304,0.00021670991163773578,41943040,canonical_phase_wrapper
decode,dense_nvfp4,1,gate_up_proj,16,0.009539342033629421,0.0014302636022939413,225443840,canonical_phase_wrapper
decode,dense_nvfp4,1,o_proj,16,0.01946224750726399,0.0001550712991047476,41943040,canonical_phase_wrapper
decode,dense_nvfp4,1,qkv_proj,16,0.004037622681219872,0.005672793924653282,125829120,canonical_phase_wrapper
decode,dense_nvfp4,2,down_proj,16,0.016076011754600748,0.0007180176227848279,41943040,canonical_phase_wrapper
decode,dense_nvfp4,2,gate_up_proj,16,0.011837084817293264,0.002904389687640549,225443840,canonical_phase_wrapper
decode,dense_nvfp4,2,o_proj,16,0.01557475303007158,0.00022901636539245372,41943040,canonical_phase_wrapper
decode,dense_nvfp4,2,qkv_proj,16,0.004924145890649606,0.007104022347872766,125829120,canonical_phase_wrapper
decode,dense_nvfp4,3,down_proj,16,0.01034660742155192,0.0033402621615095996,41943040,canonical_phase_wrapper
decode,dense_nvfp4,3,gate_up_proj,16,0.008665919857367522,0.004949470591016633,225443840,canonical_phase_wrapper
decode,dense_nvfp4,3,o_proj,16,0.012386303333150503,0.0006157561500003794,41943040,canonical_phase_wrapper
decode,dense_nvfp4,3,qkv_proj,16,0.005906533451532175,0.00899621714585616,125829120,canonical_phase_wrapper
