phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count,backend
prefill,w4a16_ours,0,down_proj,16,0.0010537924297452789,0.00010913542988300051,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,0,gate_up_proj,16,0.004862779260952432,0.00025268692717005716,5771362304,canonical_phase_wrapper
prefill,w4a16_ours,0,o_proj,16,0.0066496046988969906,7.735526141305904e-06,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,0,qkv_proj,16,0.0012132029124892886,0.0013954279559141487,3221225472,canonical_phase_wrapper
prefill,w4a16_ours,1,down_proj,16,0.008299523573093336,0.00011313543842561558,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,1,gate_up_proj,16,0.004759412092434768,0.0007100146284819645,5771362304,canonical_phase_wrapper
prefill,w4a16_ours,1,o_proj,16,0.009754323112756496,7.298897517671321e-05,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,1,qkv_proj,16,0.0019782059454478917,0.002769837632058625,3221225472,canonical_phase_wrapper
prefill,w4a16_ours,2,down_proj,16,0.008681157813745139,0.00038978099030373414,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,2,gate_up_proj,16,0.005800841792651776,0.0014434894384426434,5771362304,canonical_phase_wrapper
prefill,w4a16_ours,2,o_proj,16,0.007848927455170128,0.00011024853932894985,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,2,qkv_proj,16,0.0024204445959693315,0.0034834197037222716,3221225472,canonical_phase_wrapper
prefill,w4a16_ours,3,down_proj,16,0.004555962176386374,0.001873945203897165,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,3,gate_up_proj,16,0.004357150688078212,0.0024757480883678463,5771362304,canonical_phase_wrapper
prefill,w4a16_ours,3,o_proj,16,0.006214090893593807,0.00030731938784356316,1073741824,canonical_phase_wrapper
prefill,w4a16_ours,3,qkv_proj,16,0.002954176546751718,0.004449630336845682,3221225472,canonical_phase_wrapper
