phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count,backend
decode,sparse_nvfp4,0,down_proj,16,0.16015607386952457,0.0004236371400651251,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,0,gate_up_proj,16,0.09980063959766039,0.005210059400117241,225443840,canonical_phase_wrapper
decode,sparse_nvfp4,0,o_proj,16,0.11201023505127546,0.0001404981502581393,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,0,qkv_proj,16,0.016806673503363997,0.01982831820385703,125829120,canonical_phase_wrapper
decode,sparse_nvfp4,1,down_proj,16,0.17573550838656696,0.00243530840089079,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,1,gate_up_proj,16,0.10327460129672197,0.01548428631192723,225443840,canonical_phase_wrapper
decode,sparse_nvfp4,1,o_proj,16,0.16504176036502063,0.0013150197672075592,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,1,qkv_proj,16,0.03590782017241918,0.050449900895667574,125829120,canonical_phase_wrapper
decode,sparse_nvfp4,2,down_proj,16,0.19305358601204337,0.008622528958949261,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,2,gate_up_proj,16,0.13272453452388355,0.032565768964068834,225443840,canonical_phase_wrapper
decode,sparse_nvfp4,2,o_proj,16,0.163420291624143,0.002402986496599624,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,2,qkv_proj,16,0.04800152335065188,0.06925137926203509,125829120,canonical_phase_wrapper
decode,sparse_nvfp4,3,down_proj,16,0.07654555861554013,0.024711697531165554,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,3,gate_up_proj,16,0.10128978914973848,0.05785085032152575,225443840,canonical_phase_wrapper
decode,sparse_nvfp4,3,o_proj,16,0.1308464818026145,0.006504727335413918,41943040,canonical_phase_wrapper
decode,sparse_nvfp4,3,qkv_proj,16,0.06584281297156432,0.10028492140894135,125829120,canonical_phase_wrapper
