phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count,backend
decode,w4a16_ours,0,down_proj,16,0.007422544339967922,1.9633757123393992e-05,41943040,canonical_phase_wrapper
decode,w4a16_ours,0,gate_up_proj,16,0.004850246309974454,0.0002532055053158073,225443840,canonical_phase_wrapper
decode,w4a16_ours,0,o_proj,16,0.006613564038922178,8.295612571984634e-06,41943040,canonical_phase_wrapper
decode,w4a16_ours,0,qkv_proj,16,0.0012042152501143487,0.001420719166135124,125829120,canonical_phase_wrapper
decode,w4a16_ours,1,down_proj,16,0.008241974768325009,0.00011421567887737183,41943040,canonical_phase_wrapper
decode,w4a16_ours,1,gate_up_proj,16,0.004791651105573734,0.0007184273450971083,225443840,canonical_phase_wrapper
decode,w4a16_ours,1,o_proj,16,0.009899404962445851,7.887648059750063e-05,41943040,canonical_phase_wrapper
decode,w4a16_ours,1,qkv_proj,16,0.0019740539488379075,0.002773513557864741,125829120,canonical_phase_wrapper
decode,w4a16_ours,2,down_proj,16,0.008686520585658823,0.0003879740172124002,41943040,canonical_phase_wrapper
decode,w4a16_ours,2,gate_up_proj,16,0.005940793748624667,0.0014576545125956453,225443840,canonical_phase_wrapper
decode,w4a16_ours,2,o_proj,16,0.007850399143118832,0.00011543488844836247,41943040,canonical_phase_wrapper
decode,w4a16_ours,2,qkv_proj,16,0.0024378835101559527,0.0035171132867011087,125829120,canonical_phase_wrapper
decode,w4a16_ours,3,down_proj,16,0.005559828456810692,0.0017949153632798697,41943040,canonical_phase_wrapper
decode,w4a16_ours,3,gate_up_proj,16,0.00434546801161297,0.0024818791867082203,225443840,canonical_phase_wrapper
decode,w4a16_ours,3,o_proj,16,0.006213904957712991,0.0003089097764132021,41943040,canonical_phase_wrapper
decode,w4a16_ours,3,qkv_proj,16,0.0029484134158342576,0.004490716516253694,125829120,canonical_phase_wrapper
