policy_id,quality_budget,predicted_delta_nll,raw_predicted_linear_ms,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,decode_count_dense_bf16,decode_count_dense_nvfp4,decode_count_sparse_bf16,decode_count_sparse_nvfp4,decode_count_w4a16_ours,raw_speedup_vs_dense
point_000,0.0,0.0,1210.853824,128,0,0,0,0,128,0,0,0,0,1.0
point_001,0.005011872336272725,0.0021986768435698803,1184.244074,126,2,0,0,0,126,0,0,0,2,1.0224698190045578
point_002,0.006502618281498465,0.00329801526535482,1170.9391990000001,125,3,0,0,0,125,0,0,0,3,1.0340877007397886
point_003,0.008436776054500262,0.004397353687139761,1157.634324,124,4,0,0,0,124,0,0,0,4,1.0459726347920555
point_004,0.010946235364347193,0.005496692108924701,1144.329449,123,5,0,0,0,123,0,0,0,5,1.0581339360427489
point_005,0.014202115580366962,0.007695368952494581,1117.719699,121,7,0,0,0,121,0,0,0,7,1.0833251172752212
point_006,0.018426434316866247,0.009381992695589437,1091.1099490000001,119,9,0,0,0,119,0,0,0,9,1.1097450125074424
point_007,0.023907246755769124,0.011324642988921805,1064.500199,117,11,0,0,0,117,0,0,0,11,1.1374857657494903
point_008,0.031018288053596497,0.014697890475111518,1011.280699,113,15,0,0,0,113,0,0,0,15,1.1973469138660977
point_009,0.04024445824334468,0.019391675916897444,944.7563240000001,108,20,0,0,0,108,0,0,0,20,1.2816572837251523
point_010,0.052214887440008864,0.026927430856228753,864.9270740000001,102,26,0,0,0,102,0,0,0,26,1.3999490366282603
point_011,0.06774583605740715,0.03872681488764644,781.89944,96,32,0,0,0,95,0,0,0,33,1.5486055649304469
point_012,0.08789635539078937,0.046605773404297446,749.9156,96,32,0,0,0,85,0,0,0,43,1.6146534676702284
point_013,0.11404050404569831,0.0627047927224383,705.138224,96,32,0,0,0,71,0,0,0,57,1.7171864788881448
point_014,0.14796104463234366,0.08923772510399983,670.561268,87,32,9,0,0,64,0,0,0,64,1.8057318276247354
point_015,0.19197100987839935,0.11588077285054603,642.704884,65,32,31,0,0,49,0,0,0,79,1.8839966120437948
point_016,0.2490714277214331,0.15452769250428205,610.77614,48,24,48,8,0,28,0,0,0,100,1.9824838344209057
point_017,0.3231559606134748,0.20937312936449426,585.4758870000001,43,24,53,8,0,1,0,0,0,127,2.0681531910809503
point_018,0.4192764133380015,0.31222990759262426,561.172779,31,16,65,16,0,0,0,0,0,128,2.157720169816006
point_019,0.5439872142474373,0.42318950300612296,542.781185,12,5,84,27,0,0,0,0,0,128,2.230832345450589
point_020,0.7057923600060186,0.5182288481767805,533.19968,0,0,96,32,0,0,0,0,0,128,2.2709200125551465
