batch_size,label,source_label,forward_mean_ms,speedup_vs_uncompressed_amp,images_per_sec,backend_counts
1,dense_default_amp,dense_default_amp,40.483308,1.000000,24.701538,{'dense_default': 224}
1,uniform_dense_bf16,uniform_dense_bf16,23.807308,1.700457,42.003909,{'dense_bf16': 224}
1,uniform_dense_nvfp4,uniform_dense_nvfp4,65.944500,0.613900,15.164267,{'dense_nvfp4': 224}
1,uniform_sparse_bf16,uniform_sparse_bf16,39.352183,1.028744,25.411551,{'sparse_bf16': 224}
1,uniform_sparse_nvfp4,uniform_sparse_nvfp4,66.987849,0.604338,14.928081,{'sparse_nvfp4': 224}
1,ours_best,ours_mlp_sparse_bf16_96,31.278465,1.294287,31.970879,"{'dense_bf16': 128, 'sparse_bf16': 96}"
2,dense_default_amp,dense_default_amp,39.817030,1.000000,50.229764,{'dense_default': 224}
2,uniform_dense_bf16,uniform_dense_bf16,25.451900,1.564403,78.579594,{'dense_bf16': 224}
2,uniform_dense_nvfp4,uniform_dense_nvfp4,71.616054,0.555979,27.926699,{'dense_nvfp4': 224}
2,uniform_sparse_bf16,uniform_sparse_bf16,39.026847,1.020247,51.246774,{'sparse_bf16': 224}
2,uniform_sparse_nvfp4,uniform_sparse_nvfp4,70.049293,0.568414,28.551323,{'sparse_nvfp4': 224}
2,ours_best,ours_mlp_sparse_bf16_96,32.425364,1.227959,61.680110,"{'dense_bf16': 128, 'sparse_bf16': 96}"
4,dense_default_amp,dense_default_amp,39.134486,1.000000,102.211639,{'dense_default': 224}
4,uniform_dense_bf16,uniform_dense_bf16,25.700679,1.522702,155.637911,{'dense_bf16': 224}
4,uniform_dense_nvfp4,uniform_dense_nvfp4,72.304019,0.541249,55.321959,{'dense_nvfp4': 224}
4,uniform_sparse_bf16,uniform_sparse_bf16,40.945688,0.955766,97.690385,{'sparse_bf16': 224}
4,uniform_sparse_nvfp4,uniform_sparse_nvfp4,72.361939,0.540816,55.277679,{'sparse_nvfp4': 224}
4,ours_best,ours_mlp_sparse_bf16_96,33.704960,1.161090,118.676895,"{'dense_bf16': 128, 'sparse_bf16': 96}"
8,dense_default_amp,dense_default_amp,42.186346,1.000000,189.634819,{'dense_default': 224}
8,uniform_dense_bf16,uniform_dense_bf16,28.328019,1.489209,282.405914,{'dense_bf16': 224}
8,uniform_dense_nvfp4,uniform_dense_nvfp4,70.309365,0.600010,113.782850,{'dense_nvfp4': 224}
8,uniform_sparse_bf16,uniform_sparse_bf16,36.054908,1.170058,221.883802,{'sparse_bf16': 224}
8,uniform_sparse_nvfp4,uniform_sparse_nvfp4,73.662675,0.572696,108.603169,{'sparse_nvfp4': 224}
8,ours_best,ours_mlp_sparse_bf16_96,31.499522,1.339269,253.972110,"{'dense_bf16': 128, 'sparse_bf16': 96}"
16,dense_default_amp,dense_default_amp,56.252878,1.000000,284.429891,{'dense_default': 224}
16,uniform_dense_bf16,uniform_dense_bf16,51.565077,1.090910,310.287522,{'dense_bf16': 224}
16,uniform_dense_nvfp4,uniform_dense_nvfp4,80.708830,0.696985,198.243487,{'dense_nvfp4': 224}
16,uniform_sparse_bf16,uniform_sparse_bf16,40.946355,1.373819,390.755172,{'sparse_bf16': 224}
16,uniform_sparse_nvfp4,uniform_sparse_nvfp4,81.237242,0.692452,196.954002,{'sparse_nvfp4': 224}
16,ours_best,ours_mlp_all_attn_sparse_bf16_64,41.366332,1.359871,386.787984,"{'dense_bf16': 64, 'sparse_bf16': 160}"
32,dense_default_amp,dense_default_amp,102.916570,1.000000,310.931465,{'dense_default': 224}
32,uniform_dense_bf16,uniform_dense_bf16,92.516284,1.112416,345.885055,{'dense_bf16': 224}
32,uniform_dense_nvfp4,uniform_dense_nvfp4,114.338779,0.900102,279.870052,{'dense_nvfp4': 224}
32,uniform_sparse_bf16,uniform_sparse_bf16,71.910076,1.431184,445.000224,{'sparse_bf16': 224}
32,uniform_sparse_nvfp4,uniform_sparse_nvfp4,112.433986,0.915351,284.611451,{'sparse_nvfp4': 224}
32,ours_best,ours_extreme_fastest_microbench,73.855555,1.393484,433.278176,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}"
