m,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples,tflops,latency_q25_ms,latency_q75_ms,latency_iqr_ms,flops,bytes_bf16,arithmetic_intensity
8,4096,4096,0.033159,0.033159,0.0,0.033159,0.033159,1,8.095354,0.033159,0.033159,0.0,268435456.0,33685504.0,7.968871595330739
8,4096,11008,0.063874,0.063874,0.0,0.063874,0.063874,1,11.294499,0.063874,0.063874,0.0,721420288.0,90419200.0,7.978618346545867
8,12288,4096,0.045669,0.045669,0.0,0.045669,0.045669,1,17.633622,0.045669,0.045669,0.0,805306368.0,100925440.0,7.979220779220779
8,22016,4096,0.135223,0.135223,0.0,0.135223,0.135223,1,10.670067,0.135223,0.135223,0.0,1442840576.0,180772864.0,7.981510853310373
16384,4096,4096,1.343764,1.343764,0.0,1.343764,1.343764,1,409.116343,1.343764,1.343764,0.0,549755813888.0,301989888.0,1820.4444444444443
16384,4096,11008,3.539974,3.539974,0.0,3.539974,3.539974,1,417.367165,3.539974,3.539974,0.0,1477468749824.0,585105408.0,2525.1326164874554
16384,12288,4096,3.981087,3.981087,0.0,3.981087,3.981087,1,414.275636,3.981087,3.981087,0.0,1649267441664.0,637534208.0,2586.9473684210525
16384,22016,4096,7.348645,7.348645,0.0,7.348645,7.348645,1,402.106453,7.348645,7.348645,0.0,2954937499648.0,1035993088.0,2852.275303643725
