family,policy,point_index,speed_ms,speedup_vs_ours_bf16,actual_nll,actual_delta_nll,predicted_delta_nll,predicted_linear_speedup,complete_speed,wikitext_word_ppl,winogrande_acc,arc_easy_acc_norm,arc_challenge_acc_norm,mmlu_acc
ours,point_000,0,1136.5273389965296,1.0,1.9755314327737294,0.0,0.0,1.0,True,12.227501197051792,0.6827150749802684,0.6839225589225589,0.4334470989761092,0.4657456202820111
ours,point_008,8,1022.0010112971067,1.1120608751199452,1.983825610636756,0.008294177863026553,0.01411951952154189,1.1721331032374886,True,12.416329834329915,0.6787687450670876,0.6801346801346801,0.43600682593856654,0.45862412761714855
ours,point_012,12,844.2790471017361,1.346151302579439,1.9904944179409694,0.014962985167239928,0.04765337838520388,1.4990741769286064,True,12.484122446813176,0.6827150749802684,0.6738215488215489,0.4283276450511945,0.4550633812847173
ours,point_015,15,682.8227210789919,1.6644544827105294,2.2168342857383054,0.241302852964576,0.11825097599291333,1.9725712852202317,True,16.71038367208032,0.6614048934490924,0.6691919191919192,0.43686006825938567,0.45107534539239424
ours,point_018,18,630.9887692332268,1.8011847348370873,2.707729580182767,0.7321981474090378,0.29121509013180147,2.2335833290950537,True,34.342287569113125,0.6495659037095501,0.6460437710437711,0.4069965870307167,0.41318900441532547
ours,point_020,20,593.8360746949911,1.9138738574955692,3.0409727240740017,1.0654412913002722,0.5312469219980136,2.427383592165953,True,49.38379459784388,0.5730071033938438,0.5816498316498316,0.34897610921501704,0.30615296966244127
ours,point_022,22,559.0657480061054,2.0329046146180967,4.392547112233758,2.4170156794600284,0.9680695571957159,2.688716191901933,True,366.73075236637123,0.5595895816890292,0.49957912457912457,0.2986348122866894,0.24704458054408204
ours,point_023,23,542.9846029728651,2.0931115408687306,6.784746560645616,4.809215127871887,1.27075675693877,2.8052906875502934,True,5923.5495801908655,0.510655090765588,0.38047138047138046,0.2645051194539249,0.22916963395527704
