conversion,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples
canonical_to_cutlass,4096,4096,0.022753,0.022753,0.0,0.022753,0.022753,1
canonical_to_cutlass,4096,11008,0.02257,0.02257,0.0,0.02257,0.02257,1
canonical_to_cutlass,12288,4096,0.023415,0.023415,0.0,0.023415,0.023415,1
canonical_to_cutlass,22016,4096,0.02346,0.02346,0.0,0.02346,0.02346,1
canonical_to_marlin,4096,4096,0.389387,0.389387,0.0,0.389387,0.389387,1
canonical_to_marlin,4096,11008,0.438835,0.438835,0.0,0.438835,0.438835,1
canonical_to_marlin,12288,4096,0.469531,0.469531,0.0,0.469531,0.469531,1
canonical_to_marlin,22016,4096,0.654685,0.654685,0.0,0.654685,0.654685,1
