point_index,module_type,method,modules,latency_cost,quality_cost
0,q_proj,dense_bf16,32,77.42402725219728,0.0
0,k_proj,dense_bf16,32,77.35777282714844,0.0
0,v_proj,dense_bf16,32,77.41409301757812,0.0
0,o_proj,dense_bf16,32,77.388697052002,0.0
0,gate_proj,dense_bf16,32,195.66069641113273,0.0
0,up_proj,dense_bf16,32,195.18228454589834,0.0
0,down_proj,dense_bf16,32,204.76354675292978,0.0
1,q_proj,dense_bf16,32,77.42402725219728,0.0
1,k_proj,dense_bf16,32,77.35777282714844,0.0
1,v_proj,dense_bf16,32,77.41409301757812,0.0
1,o_proj,dense_bf16,32,77.388697052002,0.0
1,gate_proj,dense_bf16,30,183.43190288543695,0.0
1,up_proj,dense_bf16,32,195.18228454589834,0.0
1,down_proj,dense_bf16,32,204.76354675292978,0.0
1,gate_proj,dense_nvfp4,2,5.612371206283569,0.0835134468395764
2,q_proj,dense_bf16,32,77.42402725219728,0.0
2,k_proj,dense_bf16,32,77.35777282714844,0.0
2,v_proj,dense_bf16,32,77.41409301757812,0.0
2,o_proj,dense_bf16,32,77.388697052002,0.0
2,gate_proj,dense_bf16,28,171.20310935974118,0.0
2,up_proj,dense_bf16,32,195.18228454589834,0.0
2,down_proj,dense_bf16,32,204.76354675292978,0.0
2,gate_proj,dense_nvfp4,4,11.224742412567139,0.23199262343139426
3,q_proj,dense_bf16,32,77.42402725219728,0.0
3,k_proj,dense_bf16,32,77.35777282714844,0.0
3,v_proj,dense_bf16,32,77.41409301757812,0.0
3,o_proj,dense_bf16,32,77.388697052002,0.0
3,gate_proj,dense_bf16,21,128.40233201980595,0.0
3,up_proj,dense_bf16,32,195.18228454589834,0.0
3,down_proj,dense_bf16,32,204.76354675292978,0.0
3,gate_proj,dense_nvfp4,11,30.86804163455963,0.7823808308814104
4,q_proj,dense_bf16,32,77.42402725219728,0.0
4,k_proj,dense_bf16,32,77.35777282714844,0.0
4,v_proj,dense_bf16,32,77.41409301757812,0.0
4,o_proj,dense_bf16,32,77.388697052002,0.0
4,gate_proj,dense_bf16,11,67.25836439132692,0.0
4,up_proj,dense_bf16,32,195.18228454589834,0.0
4,down_proj,dense_bf16,32,204.76354675292978,0.0
4,gate_proj,dense_nvfp4,21,58.92989766597748,1.3752894570398297
5,q_proj,dense_bf16,32,77.42402725219728,0.0
5,k_proj,dense_bf16,32,77.35777282714844,0.0
5,v_proj,dense_bf16,32,77.41409301757812,0.0
5,o_proj,dense_bf16,32,77.388697052002,0.0
5,gate_proj,dense_nvfp4,32,89.79793930053711,1.9125730399916723
5,up_proj,dense_bf16,22,134.18782062530514,0.0
5,down_proj,dense_bf16,32,204.76354675292978,0.0
5,up_proj,dense_nvfp4,10,28.031648159027107,0.9294737176750494
6,q_proj,sparse_bf16,6,7.768166399002075,0.46488048878084076
6,k_proj,dense_bf16,30,72.52291202545166,0.0
6,v_proj,sparse_bf16,1,1.2970336198806762,0.05529285378218662
6,o_proj,sparse_bf16,1,1.29475839138031,0.02868447297177316
6,gate_proj,dense_nvfp4,32,89.79793930053711,1.9125730399916723
6,up_proj,dense_nvfp4,32,89.7012741088867,2.9461358250289336
6,down_proj,sparse_bf16,4,12.972761631011963,0.3316556647605611
6,v_proj,dense_bf16,31,74.99490261077881,0.0
6,o_proj,dense_bf16,31,74.97030026912694,0.0
6,down_proj,dense_nvfp4,28,143.26287307739256,3.4435427015221647
6,k_proj,sparse_bf16,2,2.5980031967163084,0.26210348754081986
6,q_proj,dense_bf16,26,62.907022142410256,0.0
7,q_proj,sparse_bf16,23,29.777971196174633,5.310733004621982
7,k_proj,sparse_bf16,28,36.3720447540283,5.466778878019463
7,v_proj,sparse_bf16,2,2.5940672397613525,0.2777285416915134
7,o_proj,sparse_bf16,2,2.58951678276062,0.36986212694673837
7,gate_proj,dense_nvfp4,32,89.79793930053711,1.9125730399916723
7,up_proj,dense_nvfp4,32,89.7012741088867,2.9461358250289336
7,down_proj,sparse_bf16,4,12.972761631011963,0.3316556647605611
7,v_proj,dense_bf16,30,72.57571220397949,0.0
7,o_proj,dense_nvfp4,25,49.78231996297834,2.521664863941276
7,down_proj,dense_nvfp4,28,143.26287307739256,3.4435427015221647
7,o_proj,dense_bf16,5,12.091983914375305,0.0
7,q_proj,dense_bf16,9,21.77550766468048,0.0
7,k_proj,dense_bf16,4,9.669721603393555,0.0
8,q_proj,sparse_bf16,32,41.43022079467776,9.541615526861573
8,k_proj,sparse_bf16,32,41.56805114746091,7.067673272325594
8,v_proj,sparse_bf16,3,3.8911008596420285,0.8501666435021614
8,o_proj,sparse_bf16,3,3.88427517414093,0.9618441087364029
8,gate_proj,dense_nvfp4,32,89.79793930053711,1.9125730399916723
8,up_proj,dense_nvfp4,32,89.7012741088867,2.9461358250289336
8,down_proj,sparse_bf16,23,74.59337937831879,27.523955668814892
8,o_proj,dense_nvfp4,29,57.747491157054874,3.0378763342625064
8,v_proj,dense_nvfp4,29,57.90840667486191,3.175246568478513
8,down_proj,dense_nvfp4,9,46.04878063201904,1.1949289214286622
9,q_proj,sparse_bf16,32,41.43022079467776,9.541615526861573
9,k_proj,sparse_bf16,32,41.56805114746091,7.067673272325594
9,v_proj,sparse_bf16,32,41.50507583618165,37.28831188483509
9,o_proj,sparse_bf16,30,38.84275174140931,32.07618498225982
9,gate_proj,sparse_nvfp4,3,7.046361494064332,2.2054751172686475
9,up_proj,sparse_nvfp4,2,4.693984079360962,1.5950587109927228
9,down_proj,sparse_bf16,32,103.7820930480957,42.80633730411997
9,up_proj,dense_nvfp4,30,84.09494447708128,2.8594610438064536
9,gate_proj,dense_nvfp4,29,81.37938249111176,1.7951565997667394
9,o_proj,dense_nvfp4,2,3.982585597038269,0.22336533075671017
10,q_proj,sparse_bf16,32,41.43022079467776,9.541615526861573
10,k_proj,sparse_bf16,32,41.56805114746091,7.067673272325594
10,v_proj,sparse_bf16,32,41.50507583618165,37.28831188483509
10,o_proj,sparse_bf16,32,41.432268524169935,34.981899015260616
10,gate_proj,sparse_nvfp4,32,75.16118927001953,47.233735222427576
10,up_proj,sparse_nvfp4,32,75.10374526977539,70.43501234794657
10,down_proj,sparse_bf16,32,103.7820930480957,42.80633730411997
11,q_proj,sparse_bf16,32,41.43022079467776,9.541615526861573
11,k_proj,sparse_bf16,32,41.56805114746091,7.067673272325594
11,v_proj,sparse_bf16,32,41.50507583618165,37.28831188483509
