from_point,to_point,from_method,to_method,module_family,modules,latency_delta_ms,quality_delta
0,1,dense_bf16,dense_nvfp4,mlp,2,-6.616422319412232,0.0835134468395764
1,2,dense_bf16,dense_nvfp4,mlp,2,-6.616422319412232,0.14847917659181786
2,3,dense_bf16,dense_nvfp4,mlp,7,-23.15747811794281,0.5503882074500162
3,4,dense_bf16,dense_nvfp4,mlp,10,-33.08211159706116,0.5929086261584192
4,5,dense_bf16,dense_nvfp4,mlp,21,-69.35313851833344,1.4667573006268915
5,6,dense_bf16,sparse_bf16,attention,10,-11.231491494178771,0.8109613030756204
5,6,dense_bf16,dense_nvfp4,mlp,50,-108.42342500686637,5.460204808876049
5,6,dense_bf16,sparse_bf16,mlp,4,-12.62268171310425,0.3316556647605611
6,7,dense_bf16,sparse_bf16,attention,45,-50.44665372371674,10.614141248204078
6,7,dense_bf16,dense_nvfp4,attention,25,-10.677599608898175,2.521664863941276
7,8,dense_bf16,sparse_bf16,attention,14,-15.71913006305694,6.404215018356373
7,8,dense_nvfp4,sparse_bf16,mlp,19,-35.593474698066714,24.94368622396082
7,8,dense_bf16,dense_nvfp4,attention,34,-14.383635044097902,3.752881602621337
7,8,dense_nvfp4,sparse_bf16,attention,1,-0.6965344071388244,0.5305584179680712
8,9,dense_nvfp4,sparse_nvfp4,mlp,5,-2.284540867805481,3.596442606813958
8,9,dense_nvfp4,sparse_bf16,attention,56,-39.10086069107056,61.56272854287201
8,9,dense_nvfp4,sparse_bf16,mlp,9,-16.86006696224213,14.087452713876413
9,10,dense_nvfp4,sparse_nvfp4,mlp,59,-26.94973800182341,109.21359609853957
9,10,dense_nvfp4,sparse_bf16,attention,2,-1.3930688142776488,2.6823487022440906
