row_type,label,point_index,quality_cost,predicted_linear_latency_ms,e2e_prefill_mean_ms,e2e_speedup_vs_dense,nll,nll_delta_vs_dense,arc_acc,arc_acc_norm,backend_counts,source
pareto,point_000,0,0.0,905.1911178588867,1165.5361735026042,1.0,2.039499126068533,0.0,0.40625,0.4609375,{'bf16': 224},pareto_validation
pareto,point_001,1,0.0835134468395764,898.5746955394745,1153.6066080729167,1.0103411035843628,2.0395459064998738,4.6780431340653905e-05,0.4296875,0.4609375,"{'bf16': 222, 'dense_nvfp4': 2}",pareto_validation
pareto,point_002,2,0.23199262343139426,891.9582732200622,1146.5187174479167,1.0165871309079186,2.0397004465300976,0.00020132046156451366,0.4140625,0.453125,"{'bf16': 220, 'dense_nvfp4': 4}",pareto_validation
pareto,point_003,3,0.7823808308814105,868.8007951021194,1123.5517171223958,1.0373676224604398,2.040486651157446,0.0009875250889130882,0.4140625,0.4609375,"{'bf16': 213, 'dense_nvfp4': 11}",pareto_validation
pareto,point_004,4,1.3752894570398297,835.7186835050583,1091.1539306640625,1.0681684231236501,2.0408813827425067,0.0013822566739736253,0.3984375,0.4609375,"{'bf16': 203, 'dense_nvfp4': 21}",pareto_validation
pareto,point_005,5,2.842046757666721,766.3655449867249,1021.9060262044271,1.1405512284056583,2.0418942035294325,0.0023950774608993974,0.3984375,0.4609375,"{'bf16': 182, 'dense_nvfp4': 42}",pareto_validation
pareto,point_006,6,9.444868534378953,634.0879467725754,918.5054931640625,1.2689485062169545,2.0543402468388328,0.014841120770299643,0.40625,0.4296875,"{'sparse_bf16': 14, 'bf16': 118, 'dense_nvfp4': 92}",pareto_validation
pareto,point_007,7,22.580674646524304,572.9636934399605,853.3604736328125,1.3658192633891735,2.0662627621406213,0.026763636072088204,0.3984375,0.453125,"{'sparse_bf16': 59, 'dense_nvfp4': 117, 'bf16': 48}",pareto_validation
pareto,point_008,8,58.21201590943091,506.5709192276001,784.7539876302084,1.485224913634753,2.1093044766241325,0.06980535055559933,0.3984375,0.453125,"{'sparse_bf16': 93, 'dense_nvfp4': 131}",pareto_validation
pareto,point_009,9,137.4586397729933,448.32545070648194,730.0824788411459,1.596444521381544,2.215407085978588,0.17590795991005503,0.375,0.375,"{'sparse_bf16': 158, 'sparse_nvfp4': 5, 'dense_nvfp4': 61}",pareto_validation
pareto,point_010,10,249.35458457377698,419.98264389038087,701.7730305989584,1.6608449209110063,2.6352587399417406,0.5957596138732075,0.28125,0.3203125,"{'sparse_bf16': 160, 'sparse_nvfp4': 64}",pareto_validation
uniform,all_dense_bf16,,0.0,905.1911178588867,1174.7718505859375,1.0,2.039499126068533,0.0,0.40625,0.4609375,{dense_bf16: 224},003_oracle_summary
uniform,all_dense_nvfp4,,16.530083108272944,598.6068492889405,853.2855834960938,1.3767628017019176,2.076294759015048,0.03679563294651489,0.40625,0.4609375,{dense_nvfp4: 224},003_oracle_summary
uniform,all_sparse_bf16,,191.28447364745372,477.0136070251465,803.2972412109375,1.4624373025544284,2.3901189703297474,0.3506198442612143,0.34375,0.359375,{sparse_bf16: 224},003_oracle_summary
uniform,all_sparse_nvfp4,,379.2646015372682,538.8999702453614,791.8174438476562,1.4836397703963198,3.1070349109149493,1.0675357848464162,0.1875,0.265625,{sparse_nvfp4: 224},003_oracle_summary
uniform,all_marlin_nvfp4,,16.530083108272944,913.749609375,1185.4903564453125,0.9909585887383222,2.076294759015048,0.03679563294651489,0.40625,0.4609375,{marlin_nvfp4: 224},003_oracle_summary
