point_index,layer,method,modules,latency_cost,quality_cost
0,0,dense_bf16,7,28.287222433090207,0.0
0,1,dense_bf16,7,28.287222433090207,0.0
0,2,dense_bf16,7,28.287222433090207,0.0
0,3,dense_bf16,7,28.287222433090207,0.0
0,4,dense_bf16,7,28.287222433090207,0.0
0,5,dense_bf16,7,28.287222433090207,0.0
0,6,dense_bf16,7,28.287222433090207,0.0
0,7,dense_bf16,7,28.287222433090207,0.0
0,8,dense_bf16,7,28.287222433090207,0.0
0,9,dense_bf16,7,28.287222433090207,0.0
0,10,dense_bf16,7,28.287222433090207,0.0
0,11,dense_bf16,7,28.287222433090207,0.0
0,12,dense_bf16,7,28.287222433090207,0.0
0,13,dense_bf16,7,28.287222433090207,0.0
0,14,dense_bf16,7,28.287222433090207,0.0
0,15,dense_bf16,7,28.287222433090207,0.0
0,16,dense_bf16,7,28.287222433090207,0.0
0,17,dense_bf16,7,28.287222433090207,0.0
0,18,dense_bf16,7,28.287222433090207,0.0
0,19,dense_bf16,7,28.287222433090207,0.0
0,20,dense_bf16,7,28.287222433090207,0.0
0,21,dense_bf16,7,28.287222433090207,0.0
0,22,dense_bf16,7,28.287222433090207,0.0
0,23,dense_bf16,7,28.287222433090207,0.0
0,24,dense_bf16,7,28.287222433090207,0.0
0,25,dense_bf16,7,28.287222433090207,0.0
0,26,dense_bf16,7,28.287222433090207,0.0
0,27,dense_bf16,7,28.287222433090207,0.0
0,28,dense_bf16,7,28.287222433090207,0.0
0,29,dense_bf16,7,28.287222433090207,0.0
0,30,dense_bf16,7,28.287222433090207,0.0
0,31,dense_bf16,7,28.287222433090207,0.0
1,0,dense_bf16,7,28.287222433090207,0.0
1,1,dense_bf16,7,28.287222433090207,0.0
1,2,dense_bf16,7,28.287222433090207,0.0
1,3,dense_bf16,7,28.287222433090207,0.0
1,4,dense_bf16,7,28.287222433090207,0.0
1,5,dense_bf16,7,28.287222433090207,0.0
1,6,dense_bf16,7,28.287222433090207,0.0
1,7,dense_bf16,7,28.287222433090207,0.0
1,8,dense_bf16,7,28.287222433090207,0.0
1,9,dense_bf16,7,28.287222433090207,0.0
1,10,dense_bf16,7,28.287222433090207,0.0
1,11,dense_bf16,7,28.287222433090207,0.0
1,12,dense_bf16,7,28.287222433090207,0.0
1,13,dense_bf16,7,28.287222433090207,0.0
1,14,dense_bf16,7,28.287222433090207,0.0
1,15,dense_bf16,7,28.287222433090207,0.0
1,16,dense_bf16,7,28.287222433090207,0.0
1,17,dense_bf16,7,28.287222433090207,0.0
1,18,dense_bf16,7,28.287222433090207,0.0
1,19,dense_bf16,7,28.287222433090207,0.0
1,20,dense_bf16,7,28.287222433090207,0.0
1,21,dense_bf16,7,28.287222433090207,0.0
1,22,dense_bf16,7,28.287222433090207,0.0
1,23,dense_bf16,7,28.287222433090207,0.0
1,24,dense_bf16,7,28.287222433090207,0.0
1,25,dense_bf16,7,28.287222433090207,0.0
1,26,dense_bf16,7,28.287222433090207,0.0
1,27,dense_bf16,7,28.287222433090207,0.0
1,28,dense_bf16,7,28.287222433090207,0.0
1,29,dense_bf16,7,28.287222433090207,0.0
1,30,dense_bf16,6,22.17282567024231,0.0
1,30,dense_nvfp4,1,2.8061856031417847,0.05089069666119147
1,31,dense_bf16,6,22.17282567024231,0.0
1,31,dense_nvfp4,1,2.8061856031417847,0.032622750178384924
2,0,dense_bf16,7,28.287222433090207,0.0
2,1,dense_bf16,7,28.287222433090207,0.0
2,2,dense_bf16,7,28.287222433090207,0.0
2,3,dense_bf16,7,28.287222433090207,0.0
2,4,dense_bf16,7,28.287222433090207,0.0
2,5,dense_bf16,7,28.287222433090207,0.0
2,6,dense_bf16,7,28.287222433090207,0.0
2,7,dense_bf16,7,28.287222433090207,0.0
