phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
prefill,sparse_nvfp4,0,down_proj,16,0.004463874844264845,0.00046229874894265777,1073741824
prefill,sparse_nvfp4,0,gate_up_proj,16,0.09564065021004668,0.004969820930476322,5771362304
prefill,sparse_nvfp4,0,o_proj,16,0.10890643846944076,0.00012669152993449728,1073741824
prefill,sparse_nvfp4,0,qkv_proj,16,0.015071187571266994,0.017334904392114936,3221225472
prefill,sparse_nvfp4,1,down_proj,16,0.16821916377161936,0.002293089317390695,1073741824
prefill,sparse_nvfp4,1,gate_up_proj,16,0.09887637699423486,0.01475049288358626,5771362304
prefill,sparse_nvfp4,1,o_proj,16,0.15894061712556634,0.0011893098667314916,1073741824
prefill,sparse_nvfp4,1,qkv_proj,16,0.03291905884590302,0.04609249504089045,3221225472
prefill,sparse_nvfp4,2,down_proj,16,0.18340923623593242,0.008235011486249277,1073741824
prefill,sparse_nvfp4,2,gate_up_proj,16,0.1246055413989369,0.031007014020064543,5771362304
prefill,sparse_nvfp4,2,o_proj,16,0.16115048814006297,0.0022635711675320636,1073741824
prefill,sparse_nvfp4,2,qkv_proj,16,0.04454492337315666,0.06410750497404176,3221225472
prefill,sparse_nvfp4,3,down_proj,16,0.05695240805089444,0.023425500265148003,1073741824
prefill,sparse_nvfp4,3,gate_up_proj,16,0.09881914900687305,0.05614938228499404,5771362304
prefill,sparse_nvfp4,3,o_proj,16,0.1317126587804706,0.006513881789942388,1073741824
prefill,sparse_nvfp4,3,qkv_proj,16,0.06379107047005789,0.0960831815415683,3221225472
