phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
prefill,w4a16_ours,0,down_proj,16,0.0006424581554408096,6.653582635496313e-05,1073741824
prefill,w4a16_ours,0,gate_up_proj,16,0.003935711579217953,0.00020451326647987096,5771362304
prefill,w4a16_ours,0,o_proj,16,0.005124967452329197,5.9619061694160536e-06,1073741824
prefill,w4a16_ours,0,qkv_proj,16,0.000838750111481314,0.000964731738799666,3221225472
prefill,w4a16_ours,1,down_proj,16,0.0066566245036868265,9.07401641825345e-05,1073741824
prefill,w4a16_ours,1,gate_up_proj,16,0.0038310372042060906,0.0005715185844713043,5771362304
prefill,w4a16_ours,1,o_proj,16,0.007758905213500694,5.8057799776634056e-05,1073741824
prefill,w4a16_ours,1,qkv_proj,16,0.0014685847361039883,0.0020562779447269954,3221225472
prefill,w4a16_ours,2,down_proj,16,0.0069260349630984154,0.00031097658245471393,1073741824
prefill,w4a16_ours,2,gate_up_proj,16,0.00472207230478318,0.0011750469562938697,5771362304
prefill,w4a16_ours,2,o_proj,16,0.006311270785157767,8.865012290470986e-05,1073741824
prefill,w4a16_ours,2,qkv_proj,16,0.0018592033927689409,0.002675700881809462,3221225472
prefill,w4a16_ours,3,down_proj,16,0.0033853499058705814,0.001392452362097174,1073741824
prefill,w4a16_ours,3,gate_up_proj,16,0.003547119014362736,0.0020154852935838578,5771362304
prefill,w4a16_ours,3,o_proj,16,0.0050035685163776905,0.00024745270610537773,1073741824
prefill,w4a16_ours,3,qkv_proj,16,0.0023492397131849247,0.0035384643051656894,3221225472
