phase,method,layer_bucket,fused_type,blocks,output_rel_mse,output_mse,output_count
decode,sparse_nvfp4,0,down_proj,16,0.15387017987360466,0.00040700999573743956,41943040
decode,sparse_nvfp4,0,gate_up_proj,16,0.0959628445684579,0.00500970857923845,225443840
decode,sparse_nvfp4,0,o_proj,16,0.10743577119146441,0.00013476024862413283,41943040
decode,sparse_nvfp4,0,qkv_proj,16,0.01493504116955754,0.01762018811387141,125829120
decode,sparse_nvfp4,1,down_proj,16,0.1685155731615836,0.002335255946672987,41943040
decode,sparse_nvfp4,1,gate_up_proj,16,0.09998982240102294,0.014991789064261803,225443840
decode,sparse_nvfp4,1,o_proj,16,0.15840344317410238,0.001262126982328482,41943040
decode,sparse_nvfp4,1,qkv_proj,16,0.033487637515826396,0.04704958378958205,125829120
decode,sparse_nvfp4,2,down_proj,16,0.184440824218648,0.008237849298166112,41943040
decode,sparse_nvfp4,2,gate_up_proj,16,0.12788347709468376,0.03137794970859622,225443840
decode,sparse_nvfp4,2,o_proj,16,0.15818394319293339,0.002325989482051227,41943040
decode,sparse_nvfp4,2,qkv_proj,16,0.045248892574146424,0.0652801828381295,125829120
decode,sparse_nvfp4,3,down_proj,16,0.06973300800061745,0.02251235777512193,41943040
decode,sparse_nvfp4,3,gate_up_proj,16,0.0976984446746397,0.05579968274159487,225443840
decode,sparse_nvfp4,3,o_proj,16,0.12759434649218365,0.006343055021716282,41943040
decode,sparse_nvfp4,3,qkv_proj,16,0.06287965871297777,0.09577175317487369,125829120
