label,family,avg_nll,actual_delta_nll,median_ms,measured_speedup_vs_dense,cnn_dm_1000_rougeL_percent,cnn_dm_1000_bert_score_percent,cnn_dm_1000_sacre_bleu,dsum_rougeL_percent,dsum_bert_score_percent,dsum_sacre_bleu,IWSLT_rougeL_percent,IWSLT_bert_score_percent,IWSLT_sacre_bleu
uniform_p00,uniform,3.2862999318313837,0.0,1609.083415940404,1.0,10.294160023039145,81.22205663919448,,7.2218154146595674,80.83687070210775,,30.900632616130824,,10.894550658201103
uniform_p01,uniform,3.388695824371748,0.1023958925403643,2106.9862639997154,0.7636895614525094,9.491019034268868,80.648388504982,,6.605307535899156,80.9214662194252,,33.81162985609378,,11.33982598101657
uniform_p02,uniform,4.412302810634974,1.12600287880359,1409.488531993702,1.1416080226380967,8.038267429611903,78.99781914949418,,3.423680221761084,78.81077159245808,,12.07104073581704,,2.434459181508455
uniform_p03,uniform,5.0332513047711105,1.7469513729397268,2268.7753948848695,0.7092299306349177,0.9944724690394381,76.80038097500801,,0.548793502639823,78.36531683603923,,0.617087833312003,,0.035772579327453036
uniform_p04,uniform,3.3118820857897435,0.025582153958359832,1248.4895589295775,1.28882408701919,9.816661716257348,80.78629066348076,,6.56695801803749,80.81134274800618,,37.21928667210964,,12.455448915628848
point_000,ours,3.2862999318313837,0.0,1608.198459027335,1.000550278423724,,,,,,,,,
point_001,ours,3.2886903746844336,0.002390442853049901,1592.4955001100898,1.0104163031099098,,,,,,,,,
point_002,ours,3.2897849465001037,0.0034850146687199768,1583.7421989999712,1.0160008472063409,,,,,,,,,
point_003,ours,3.289293454437027,0.0029935226056432285,1574.4881329592317,1.021972399954613,,,,,,,,,
point_004,ours,3.289831137084566,0.003531205253182179,1563.128531910479,1.0293992996044659,,,,,,,,,
point_005,ours,3.292011556477145,0.0057116246457611375,1538.5722131468356,1.0458289849453033,,,,,,,,,
point_006,ours,3.292939162545274,0.006639230713890498,1516.486597014591,1.0610600971403916,,,,,,,,,
point_007,ours,3.2957611484208518,0.00946121658946808,1497.075614053756,1.0748177318735124,10.306258552101703,81.19687713980674,,7.680927517206825,80.68224571545919,,30.129588945000584,,10.627828140915991
point_008,ours,3.3007649522613542,0.014465020429970554,1447.9796211235225,1.1112610926746864,,,,,,,,,
point_009,ours,3.318320809509339,0.03202087767795536,1389.319604029879,1.1581808903243538,,,,,,,,,
point_010,ours,3.3093012813453266,0.023001349513942948,1322.3754009231925,1.2168128769009552,,,,,,,,,
point_011,ours,3.318798391506714,0.03249845967533016,1250.05446607247,1.2872106453056902,10.069409903257542,81.00974282026291,,7.843440478077617,80.50342810948689,,29.033330475072255,,10.31400853736977
point_012,ours,3.325420899067824,0.03912096723644032,1207.151317037642,1.3329591686062243,10.04222117445462,81.042320227623,,7.117797969394552,80.77841514746348,,28.575122106271916,,10.148678111562782
point_013,ours,3.3523086815767122,0.06600874974532855,1141.2493390962481,1.409931520498958,9.958070269253785,81.0144402384758,,6.874623954180262,80.80999244054159,,29.27665057551011,,10.31105242135984
point_014,ours,3.3754994325884398,0.08919950075705607,1104.9904481042176,1.4561966745513826,,,,,,,,,
point_015,ours,3.4050832867515304,0.11878335492014669,1074.6686859056354,1.4972832437044643,,,,,,,,,
point_016,ours,3.435540743658371,0.14924081182698723,1028.747702948749,1.5641185990775102,8.647757921659297,79.96965779662132,,5.755056236347627,80.28941094477972,,23.62646092999909,,7.370293538906513
point_017,ours,3.468265856576654,0.1819659247452705,980.448906077072,1.6411700864439698,,,,,,,,,
point_018,ours,3.4654514631313575,0.17915153129997385,958.958478178829,1.6779489962863001,,,,,,,,,
point_019,ours,3.5336165105605506,0.2473165787291669,938.5757038835436,1.7143885243166868,,,,,,,,,
point_020,ours,3.642239010489784,0.35593907865840047,924.5330588892102,1.7404282091044465,9.262996840692377,80.00253314375877,,3.833660225225963,79.50794438123702,,11.45761041403779,,2.0044048389796174
