conversion,n,k,latency_ms,latency_mean_ms,latency_std_ms,latency_min_ms,latency_max_ms,samples
canonical_to_cutlass,4096,4096,0.02377,0.02377,0.0,0.02377,0.02377,1
canonical_to_cutlass,4096,11008,0.023684,0.023684,0.0,0.023684,0.023684,1
canonical_to_cutlass,12288,4096,0.024274,0.024274,0.0,0.024274,0.024274,1
canonical_to_cutlass,22016,4096,0.025662,0.025662,0.0,0.025662,0.025662,1
canonical_to_marlin,4096,4096,0.370288,0.370288,0.0,0.370288,0.370288,1
canonical_to_marlin,4096,11008,0.453693,0.453693,0.0,0.453693,0.453693,1
canonical_to_marlin,12288,4096,0.489486,0.489486,0.0,0.489486,0.489486,1
canonical_to_marlin,22016,4096,0.675631,0.675631,0.0,0.675631,0.675631,1
