method,variant,split,rows,pearson,spearman,mae,rmse
sparse_bf16,local_only,train,84,0.9846763583724876,0.9839269406392692,0.026814430185846467,0.031219642338054153
sparse_bf16,local_only,holdout,36,0.9866239382421719,0.9824742268041238,0.022496244915159388,0.026563084067404662
sparse_bf16,local_only,all,120,0.9851170831096858,0.9852967782339435,0.025518974604640345,0.029898921016531993
sparse_bf16,local_layer,train,84,0.985268929746623,0.9837037037037035,0.026789454985691904,0.030940643118861116
sparse_bf16,local_layer,holdout,36,0.9864543384305284,0.9804123711340208,0.023089675063118455,0.027074717179278777
sparse_bf16,local_layer,all,120,0.9854986420413733,0.9847609769675041,0.02567952100891987,0.029833512544242748
sparse_bf16,local_type,train,84,0.9843083232590135,0.9837037037037035,0.027089752038177164,0.03156634127666184
sparse_bf16,local_type,holdout,36,0.9870483780715406,0.9806701030927836,0.02222138035527766,0.02615433081874559
sparse_bf16,local_type,all,120,0.9849604303765618,0.9850949829517781,0.025629240533307313,0.03004527312721911
sparse_bf16,final_layer_type,train,84,0.9845671655916949,0.9820192795535261,0.02622141475038812,0.030615900893637322
sparse_bf16,final_layer_type,holdout,36,0.9869700490335963,0.9822164948453609,0.021816290248301007,0.02572945335684202
sparse_bf16,final_layer_type,all,120,0.9851303340311961,0.9833484099923457,0.024899877399761988,0.029235847897450973
dense_nvfp4,local_only,train,84,0.9735165082066045,0.962435312024353,0.03219477325139711,0.03797855675355009
dense_nvfp4,local_only,holdout,36,0.9685162073494876,0.9317010309278351,0.03069850593298742,0.03610861192404397
dense_nvfp4,local_only,all,120,0.9720431198265201,0.9627792081274791,0.031745893055874205,0.037427384328619605
dense_nvfp4,local_layer,train,84,0.9734781940422788,0.9624150177574834,0.03192494818759666,0.03781905261147711
dense_nvfp4,local_layer,holdout,36,0.968807010097166,0.9335051546391753,0.030713918198058368,0.03608581532540152
dense_nvfp4,local_layer,all,120,0.9720559018316217,0.9621390299909541,0.03156163919073517,0.03730753728954065
dense_nvfp4,local_type,train,84,0.9736604872893024,0.959675291730086,0.031405127176678614,0.03693448597836136
dense_nvfp4,local_type,holdout,36,0.9687477377554411,0.9324742268041238,0.029649439089846606,0.03495040612452245
dense_nvfp4,local_type,all,120,0.9722391758898001,0.9598705726810941,0.030878420750629014,0.03635063472101632
dense_nvfp4,final_layer_type,train,84,0.9736254450484098,0.9594926433282597,0.03116092664908876,0.03675878432013404
dense_nvfp4,final_layer_type,holdout,36,0.9689151735011033,0.9363402061855671,0.02967383392876664,0.034915517441906185
dense_nvfp4,final_layer_type,all,120,0.9722331539231072,0.9601489110013222,0.030714798832992125,0.036215656348556065
dense_nvfp4,dense_calibrated_reference,train,84,0.9739262973139287,0.9594520547945204,0.004404983235315428,0.007410143894931345
dense_nvfp4,dense_calibrated_reference,holdout,36,0.9680182842028533,0.9360824742268041,0.004917099044370211,0.00774120392355835
dense_nvfp4,dense_calibrated_reference,all,120,0.9722195196482165,0.9596479020249113,0.004558617978031863,0.007510994224225336
sparse_nvfp4,local_only,train,84,0.9826505073223182,0.9809030948756975,0.07139975118845704,0.08480258423766551
sparse_nvfp4,local_only,holdout,36,0.9800736330815588,0.9783505154639176,0.07761453208068131,0.08960694279280183
sparse_nvfp4,local_only,all,120,0.9817078253302872,0.9836615406026027,0.07326418545612431,0.08627198887455989
sparse_nvfp4,local_layer,train,84,0.9833660011646325,0.9813089802130897,0.07045501330658777,0.08308685184954663
sparse_nvfp4,local_layer,holdout,36,0.9797461005953284,0.9788659793814434,0.07780755845902662,0.0903473455677772
sparse_nvfp4,local_layer,all,120,0.9821272997513848,0.9839398789228307,0.07266077685231942,0.08532989113160148
sparse_nvfp4,local_type,train,84,0.9825962459744823,0.9813292744799593,0.07164845945529837,0.08494259905006188
sparse_nvfp4,local_type,holdout,36,0.9801428673191747,0.9791237113402064,0.07745358439870095,0.08943928082723865
sparse_nvfp4,local_type,all,120,0.9816874177981474,0.9841695080370191,0.07338999693831914,0.08631620403976185
sparse_nvfp4,final_layer_type,train,84,0.9827628633022196,0.9814713343480466,0.07190575734558757,0.08455662510159243
sparse_nvfp4,final_layer_type,holdout,36,0.9801206789436342,0.9778350515463918,0.07680248732256428,0.0895379810580398
sparse_nvfp4,final_layer_type,all,120,0.9817910227510277,0.9834945376104657,0.07337477633868059,0.08608130464615905
