method,quality_cost,replaced_modules,predicted_latency_ms,predicted_speedup_vs_dense_bf16,wikitext2_nll,wikitext2_ppl,nll_delta_vs_dense_bf16,ppl_delta_vs_dense_bf16,ppl_rel_delta_pct_vs_dense_bf16,tokens,blocks
dense_bf16,0.0,0,4176.543776162816,1.0,1.7038543577838412,5.49508665643905,0.0,0.0,0.0,337755,165
dense_nvfp4,16.530083108272944,224,8589.788253707984,0.4862219711131893,1.7279479600077627,5.62909092893155,0.02409360222392154,0.1340042724924997,2.43861982295539,337755,165
marlin_nvfp4,16.530083108272944,224,3049.529572581275,1.3695698555326945,1.7279479600077627,5.62909092893155,0.02409360222392154,0.1340042724924997,2.43861982295539,337755,165
dense_nvfp4_prefill_marlin_decode,16.530083108272944,224,2836.423634551294,1.4724682608363335,1.7279479600077627,5.62909092893155,0.02409360222392154,0.1340042724924997,2.43861982295539,337755,165
