n,mean_acc,std_acc,min_acc,max_acc,mean_abs_err,max_abs_err
25,0.9866666666666667,0.01885618083164128,0.96,1.0,0.01746666666666667,0.02760000000000007
50,0.9860000000000001,0.015620499351813323,0.94,1.0,0.013173333333333348,0.04760000000000009
75,0.9875555555555556,0.01028963280248019,0.96,1.0,0.007484444444444438,0.02760000000000007
100,0.9883333333333332,0.009339283817414609,0.96,1.0,0.007293333333333322,0.02760000000000007
150,0.9904444444444445,0.006816827400079078,0.9733333333333334,1.0,0.005875555555555523,0.01426666666666665
200,0.9889999999999998,0.006506407098647718,0.97,1.0,0.005626666666666654,0.01760000000000006
300,0.9873333333333333,0.005470459388929412,0.9733333333333334,0.9966666666666667,0.004542222222222222,0.01426666666666665
500,0.9868,0.00443019939355631,0.976,0.994,0.0034133333333333277,0.011600000000000055
750,0.9871555555555555,0.0032383504412349935,0.98,0.992,0.0027377777777777648,0.007600000000000051
1000,0.9865,0.0029068883707497294,0.98,0.992,0.002580000000000008,0.007600000000000051
1500,0.9872888888888888,0.0021217276910720016,0.982,0.9913333333333333,0.0017600000000000096,0.005600000000000049
2000,0.9872166666666667,0.0017544388149934322,0.982,0.991,0.0013366666666666674,0.005600000000000049
3000,0.9871444444444443,0.001166455007255151,0.985,0.99,0.0010377777777777894,0.0026000000000000467
4000,0.9874166666666666,0.0009021579068482808,0.98575,0.98925,0.0007599999999999978,0.0018500000000000183
