n,seed,accuracy,abs_error
25,0,0.96,0.02760000000000007
25,1,0.96,0.02760000000000007
25,2,1.0,0.012399999999999967
25,3,1.0,0.012399999999999967
25,4,1.0,0.012399999999999967
25,5,1.0,0.012399999999999967
25,6,1.0,0.012399999999999967
25,7,1.0,0.012399999999999967
25,8,0.96,0.02760000000000007
25,9,1.0,0.012399999999999967
25,10,1.0,0.012399999999999967
25,11,0.96,0.02760000000000007
25,12,1.0,0.012399999999999967
25,13,0.96,0.02760000000000007
25,14,0.96,0.02760000000000007
25,15,1.0,0.012399999999999967
25,16,0.96,0.02760000000000007
25,17,1.0,0.012399999999999967
25,18,1.0,0.012399999999999967
25,19,1.0,0.012399999999999967
25,20,1.0,0.012399999999999967
25,21,1.0,0.012399999999999967
25,22,1.0,0.012399999999999967
25,23,1.0,0.012399999999999967
25,24,1.0,0.012399999999999967
25,25,0.96,0.02760000000000007
25,26,0.96,0.02760000000000007
25,27,0.96,0.02760000000000007
25,28,1.0,0.012399999999999967
25,29,1.0,0.012399999999999967
50,0,0.98,0.007600000000000051
50,1,0.96,0.02760000000000007
50,2,1.0,0.012399999999999967
50,3,0.98,0.007600000000000051
50,4,1.0,0.012399999999999967
50,5,1.0,0.012399999999999967
50,6,0.98,0.007600000000000051
50,7,1.0,0.012399999999999967
50,8,0.98,0.007600000000000051
50,9,1.0,0.012399999999999967
50,10,1.0,0.012399999999999967
50,11,0.98,0.007600000000000051
50,12,1.0,0.012399999999999967
50,13,0.94,0.04760000000000009
50,14,0.98,0.007600000000000051
50,15,0.98,0.007600000000000051
50,16,0.98,0.007600000000000051
50,17,1.0,0.012399999999999967
50,18,1.0,0.012399999999999967
50,19,1.0,0.012399999999999967
50,20,1.0,0.012399999999999967
50,21,0.98,0.007600000000000051
50,22,0.98,0.007600000000000051
50,23,1.0,0.012399999999999967
50,24,1.0,0.012399999999999967
50,25,0.96,0.02760000000000007
50,26,0.98,0.007600000000000051
50,27,0.98,0.007600000000000051
50,28,0.96,0.02760000000000007
50,29,1.0,0.012399999999999967
75,0,0.9866666666666667,0.0009333333333333416
75,1,0.9733333333333334,0.01426666666666665
75,2,1.0,0.012399999999999967
75,3,0.9866666666666667,0.0009333333333333416
75,4,1.0,0.012399999999999967
75,5,1.0,0.012399999999999967
75,6,0.9866666666666667,0.0009333333333333416
75,7,1.0,0.012399999999999967
75,8,0.9866666666666667,0.0009333333333333416
75,9,1.0,0.012399999999999967
75,10,1.0,0.012399999999999967
75,11,0.9866666666666667,0.0009333333333333416
75,12,1.0,0.012399999999999967
75,13,0.96,0.02760000000000007
75,14,0.9733333333333334,0.01426666666666665
75,15,0.9866666666666667,0.0009333333333333416
75,16,0.9866666666666667,0.0009333333333333416
75,17,0.9866666666666667,0.0009333333333333416
75,18,0.9866666666666667,0.0009333333333333416
75,19,0.9733333333333334,0.01426666666666665
75,20,0.9866666666666667,0.0009333333333333416
75,21,0.9866666666666667,0.0009333333333333416
75,22,0.9866666666666667,0.0009333333333333416
75,23,1.0,0.012399999999999967
75,24,0.9866666666666667,0.0009333333333333416
75,25,0.9733333333333334,0.01426666666666665
75,26,0.9866666666666667,0.0009333333333333416
75,27,0.9866666666666667,0.0009333333333333416
75,28,0.9733333333333334,0.01426666666666665
75,29,1.0,0.012399999999999967
100,0,0.97,0.01760000000000006
100,1,0.98,0.007600000000000051
100,2,1.0,0.012399999999999967
100,3,0.98,0.007600000000000051
100,4,0.99,0.0023999999999999577
100,5,0.99,0.0023999999999999577
100,6,0.98,0.007600000000000051
100,7,1.0,0.012399999999999967
100,8,0.99,0.0023999999999999577
100,9,1.0,0.012399999999999967
