point_index,quality_ratio,predicted_quality_cost,raw_predicted_linear_ms,raw_linear_speedup_vs_dense,prefill_count_dense_bf16,prefill_count_dense_nvfp4,prefill_count_sparse_bf16,prefill_count_sparse_nvfp4,prefill_count_w4a16_ours,policy_json
0,0.0,0.0,1798.6497599999973,1.0,128,0,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_000.json
1,0.001,0.02040602893863419,1769.2665559999973,1.0166075619868327,126,2,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_001.json
2,0.001584893192461114,0.036093609414595176,1754.5749539999972,1.0251199334058203,125,3,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_002.json
3,0.0025118864315095794,0.04468703522312513,1739.8833519999973,1.0337760620172887,124,4,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_003.json
4,0.003981071705534973,0.06187388684018505,1710.5001479999976,1.0515344077012028,122,6,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_004.json
5,0.00630957344480193,0.1002480898742007,1651.7337399999979,1.0889465513975634,118,10,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_005.json
6,0.01,0.14962183479020588,1563.5841279999981,1.1503376938858254,112,16,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_006.json
7,0.01584893192461114,0.25659106298542644,1431.3597099999988,1.256602199596633,103,25,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_007.json
8,0.025118864315095808,0.33990835720605594,1302.9864799999996,1.3804055434251306,88,40,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_008.json
9,0.039810717055349734,0.3907735653738814,1226.3904320000001,1.4666208354763135,64,64,0,0,0,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_009.json
10,0.06309573444801933,0.7477912423061935,1177.4630930000003,1.5275635989721819,37,64,0,0,27,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_010.json
11,0.1,0.8871871344902639,1159.8819840000012,1.5507179047622792,0,64,0,0,64,/root/workspaces/cospaq/fake/artifacts/debug/llama2_rtx_pro_6000_20260717_072358/pareto/prefill_decode/pareto/policies/point_011.json
