model,batch_size,input_tokens,output_tokens,prefill_total_ms,decode_total_ms,prefill_all_linear_pct,decode_all_linear_pct,prefill_self_attn_block_pct,decode_self_attn_block_pct,prefill_mlp_block_pct,decode_mlp_block_pct,prefill_norm_pct,decode_norm_pct,prefill_lm_head_pct,decode_lm_head_pct,prefill_other_pct,decode_other_pct,warmup,iters,gpu,status,error_msg
llama2-7b,1,64,32,39.52836532592774,33.795555114746094,43.35810171417875,37.8065528467194,48.80324881794501,44.428166857840495,27.336011329429397,23.001178565266766,14.024666972220682,21.789582614074025,0.8785670734072873,0.5328890117415571,8.957505806997617,10.248182951077155,3,10,0,OK,
llama2-7b,1,1024,32,91.48807296752929,24.52071647644043,84.7026536043046,46.81202214168463,35.02999301534817,46.345608302329325,57.90048891520442,28.630223796057138,4.250129566656175,14.632198865110503,1.2099955661810045,0.7614263527295998,1.6093929366102344,9.630542683773442,3,10,0,OK,
llama2-7b,1,8192,32,683.1516845703125,32.80400371551514,70.81045589540652,32.2018351894701,42.88614677757863,72.21668733956497,47.6856640130414,19.194896016362065,7.16628994933745,5.255963234262493,1.2872188984631958,0.5741738183752996,0.9746803615793311,2.758279591435169,3,10,0,OK,
llama2-7b,4,64,32,30.591289901733397,23.68588161468506,78.7974150075865,52.08115931743125,33.009835253426814,44.881919868107545,54.86238229851346,31.613782880004937,7.996336336325647,14.146081003202672,1.227287909281271,0.8096907754659916,2.9041582024528054,8.54852547321886,3,10,0,OK,
llama2-7b,4,1024,32,317.8543365478516,24.180476570129393,84.25609486402853,51.10025318767123,37.522517943150206,45.98374225037556,55.4297866649489,32.67601445027119,4.738189500060284,13.950031110663456,1.386602415359665,0.7971389651088051,0.9229034764809398,6.593073223580987,3,10,0,OK,
llama2-7b,4,8192,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 259.75 MiB is free. Including non-PyTorch memory, this process has 31.11 GiB memory in use. Of the allocated memory 26.41 GiB is allocated by PyTorch, and 4.11 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,16,64,32,89.44523315429687,23.785276794433592,86.54876788031794,51.88439907260372,33.94456485199176,44.1686210021644,59.173439494133184,32.32499193491006,4.250921266849754,14.647743752045956,1.237197735341962,0.8129667885250591,1.3938766516833425,8.045676522354526,3,10,0,OK,
llama2-7b,16,1024,32,1175.0806396484375,33.128322982788085,77.88353441527116,31.42248068734419,35.26481352478656,71.43333379829589,53.31285573717483,19.781840467419183,8.664027157307455,5.962772099940857,1.4844497191100354,0.49534412036239367,1.2738538616211201,2.326709513981669,3,10,0,OK,
llama2-7b,16,8192,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.69 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.13 GiB is free. Including non-PyTorch memory, this process has 30.23 GiB memory in use. Of the allocated memory 27.94 GiB is allocated by PyTorch, and 1.70 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,64,32,161.20035400390626,28.960003280639647,87.26930299377459,46.65948625314256,35.81520275588507,44.23776294717787,57.97168022889534,30.304040599399524,3.6580961831136425,15.68324686248101,1.3710182954182917,0.8660220120866746,1.1840025366876574,8.908927578854914,3,10,0,OK,
llama2-7b,32,1024,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 688.00 MiB. GPU 0 has a total capacity of 31.37 GiB of which 469.75 MiB is free. Including non-PyTorch memory, this process has 30.90 GiB memory in use. Of the allocated memory 27.90 GiB is allocated by PyTorch, and 2.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,8192,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.00 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.52 GiB is free. Including non-PyTorch memory, this process has 29.84 GiB memory in use. Of the allocated memory 28.57 GiB is allocated by PyTorch, and 695.30 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,64,64,32,313.0290863037109,24.243977546691895,85.56602846764014,57.30812788114993,36.559064541468565,46.328028339659895,56.288361457989915,40.91819654931566,4.808525422823465,8.106062705709233,1.4073856672556855,1.1817334911305728,0.936662910462374,3.465978914184646,3,10,0,OK,
llama2-7b,64,1024,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.34 GiB. GPU 0 has a total capacity of 31.37 GiB of which 149.75 MiB is free. Including non-PyTorch memory, this process has 31.21 GiB memory in use. Of the allocated memory 27.25 GiB is allocated by PyTorch, and 3.37 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,64,8192,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 8.00 GiB. GPU 0 has a total capacity of 31.37 GiB of which 5.52 GiB is free. Including non-PyTorch memory, this process has 25.84 GiB memory in use. Of the allocated memory 24.57 GiB is allocated by PyTorch, and 693.30 MiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
