model,batch_size,input_tokens,output_tokens,prefill_total_ms,decode_total_ms,prefill_all_linear_pct,decode_all_linear_pct,prefill_self_attn_block_pct,decode_self_attn_block_pct,prefill_mlp_block_pct,decode_mlp_block_pct,prefill_norm_pct,decode_norm_pct,prefill_lm_head_pct,decode_lm_head_pct,prefill_other_pct,decode_other_pct,warmup,iters,gpu,status,error_msg
llama2-7b,1,16,32,37.75769271850586,33.75456581115723,37.63870675938451,37.93029507766578,47.53787092544776,44.53877101806002,22.146166867062487,23.12112451900914,19.88030798741272,21.655135032438878,0.5557458236678664,0.4998150549413317,9.879908396409164,10.185154375550638,3,10,0,OK,
llama2-7b,1,256,32,34.43854103088379,28.34255027770996,72.1686881162914,42.06041832396061,34.03006868558417,46.81430521891519,51.099660727619636,25.71284775318532,9.687109637291451,17.22247843176343,1.1312535228460476,0.6760831298770046,4.051907426658701,9.574285466259056,3,10,0,OK,
llama2-7b,1,4096,32,339.65709228515624,24.55200328826904,79.80793987916796,45.051854623976965,40.82715665148556,49.87567918939823,52.48150451512809,28.6844536679971,4.4731372771661055,13.357130852317146,1.316469349688437,0.768263171214729,0.9017322065318183,7.314473119072801,3,10,0,OK,
llama2-7b,4,16,32,25.540540885925292,23.763743782043456,56.75051030151211,51.573315350433504,36.04724930212421,44.9500082523375,40.73246863260211,31.30100739903579,14.202311642942567,14.163478777148137,1.1555965058538717,0.808788394001958,7.862373916477253,8.776717177476613,3,10,0,OK,
llama2-7b,4,256,32,90.5246467590332,24.006995391845702,86.42712505521114,51.902018943417424,34.05328685385929,45.27431031580653,59.05342109569742,31.70589185027678,4.327357198480084,14.019273768753616,1.2418770255847615,0.7967277640603012,1.3240578263784357,8.20379630110277,3,10,0,OK,
llama2-7b,4,4096,32,1251.844140625,31.025881576538087,74.12783411294143,33.593702990633716,38.51168482452578,70.25295422157077,50.72944274963309,21.100865660621565,8.13801579233644,5.629777207513262,1.4119173469000892,0.5215671412381008,1.208939286604604,2.4948357690562943,3,10,0,OK,
llama2-7b,16,16,32,31.343603134155273,23.629104232788087,77.89922017505093,52.28735556062756,34.01028266354593,44.588131244331514,54.11080254684531,31.777001428721242,7.820058272816408,14.728778336061614,1.2142063338723885,0.8175273850514928,2.8446501829199633,8.088561605834144,3,10,0,OK,
llama2-7b,16,256,32,317.66920471191406,24.019344139099122,85.54715284423757,51.647065333336755,36.610350106435206,50.865455367720614,56.268498902360655,32.96320477538217,4.779760519315677,9.95141906910682,1.4096212893279136,0.8105866649629762,0.9317691825605436,5.409334122827417,3,10,0,OK,
llama2-7b,16,4096,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 1.34 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.12 GiB is free. Including non-PyTorch memory, this process has 30.24 GiB memory in use. Of the allocated memory 26.25 GiB is allocated by PyTorch, and 3.40 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,32,16,32,48.460710525512695,24.10279998779297,80.37646255950636,52.973204330545656,35.1671608786018,41.82462455186866,54.674242478136954,34.992860536811314,6.650712214848721,14.493811499864684,1.1737079604739868,1.002559038085628,2.3341764679385335,7.686144373369714,3,10,0,OK,
llama2-7b,32,256,32,608.4642272949219,24.806278419494628,80.76939901559564,45.572823918902095,34.97377901922103,58.50943279843618,54.40947144920996,29.74152856760748,8.021707807051166,7.80830708760867,1.4697062654109665,0.8397873827524488,1.1253354591068785,3.1009441635952157,3,10,0,OK,
llama2-7b,32,4096,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 2.69 GiB. GPU 0 has a total capacity of 31.37 GiB of which 1.44 GiB is free. Including non-PyTorch memory, this process has 29.92 GiB memory in use. Of the allocated memory 25.94 GiB is allocated by PyTorch, and 3.39 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
llama2-7b,64,16,32,91.94279403686524,24.070259284973144,85.6200318396573,58.54346954861291,34.75711812173915,36.3939113734172,58.4940413508376,43.90453749181808,4.206375579756903,13.554878550391292,1.2298499480865932,1.2069732918242642,1.3126149995797647,4.9396992925491645,3,10,0,OK,
llama2-7b,64,256,32,1178.4904907226562,36.87435874938965,79.12734483799055,36.92330529639309,34.445330111435716,65.85318787612987,54.131286803887654,25.47538472737951,8.642274576856575,5.761219632230033,1.5067600742303284,0.7810044892500168,1.2743484335897222,2.129203275010582,3,10,0,OK,
llama2-7b,64,4096,32,,,,,,,,,,,,,,,3,10,0,OOM,"OutOfMemoryError: CUDA out of memory. Tried to allocate 5.38 GiB. GPU 0 has a total capacity of 31.37 GiB of which 837.75 MiB is free. Including non-PyTorch memory, this process has 30.54 GiB memory in use. Of the allocated memory 27.94 GiB is allocated by PyTorch, and 2.01 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)"
