batch,elapsed_ms,input_seq,iteration,method,output_seq,phase,scenario,warmup
8,1181.610932573676,2048,0,ours_max_speed,1,ttft,prefill_decode,True
8,1171.8432512134314,2048,1,ours_max_speed,1,ttft,prefill_decode,False
8,1171.7943344265223,2048,2,ours_max_speed,1,ttft,prefill_decode,False
8,1171.9507686793804,2048,3,ours_max_speed,1,ttft,prefill_decode,False
8,1172.0475666224957,2048,4,ours_max_speed,1,ttft,prefill_decode,False
8,1172.229154035449,2048,5,ours_max_speed,1,ttft,prefill_decode,False
8,1995.9310926496983,2048,0,ours_max_speed,64,main,prefill_decode,True
8,2007.9816486686468,2048,1,ours_max_speed,64,main,prefill_decode,False
8,2004.6280082315207,2048,2,ours_max_speed,64,main,prefill_decode,False
8,1992.3005178570747,2048,3,ours_max_speed,64,main,prefill_decode,False
8,1986.8116471916437,2048,4,ours_max_speed,64,main,prefill_decode,False
8,1992.981756106019,2048,5,ours_max_speed,64,main,prefill_decode,False
