policy_id,sample_kind,method,selected_modules,replaced_modules,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss,worker_index,gpu
sparse_bf16_c032_pair00_high_final,controlled_raw_matched,sparse_bf16,32,32,1.9731930258689327,0.0153045710285582,7.193609236817139,65408,129062.60943603516,1.9578884548403745,1,1
sparse_bf16_c032_pair00_low_final,controlled_raw_matched,sparse_bf16,32,32,1.9990763836877454,0.04118792884737088,7.3822345968957235,65408,130755.58810424805,1.9578884548403745,0,0
sparse_bf16_c032_pair01_high_final,controlled_raw_matched,sparse_bf16,32,32,1.9830964330124528,0.025207978172078205,7.265204410844488,65408,129710.37149047852,1.9578884548403745,3,3
sparse_bf16_c032_pair01_low_final,controlled_raw_matched,sparse_bf16,32,32,1.9867551788658546,0.028866724025480073,7.291834634259587,65408,129949.68273925781,1.9578884548403745,2,2
sparse_bf16_c032_pair02_high_final,controlled_raw_matched,sparse_bf16,32,32,1.9814621352402897,0.023573680399915142,7.253340600601477,65408,129603.47534179688,1.9578884548403745,1,1
sparse_bf16_c032_pair02_low_final,controlled_raw_matched,sparse_bf16,32,32,1.981289069946498,0.023400615106123457,7.252085407697759,65408,129592.15548706055,1.9578884548403745,0,0
sparse_bf16_c032_pair03_high_final,controlled_raw_matched,sparse_bf16,32,32,1.9820654350250901,0.02417698018471559,7.257717859691871,65408,129642.9359741211,1.9578884548403745,3,3
sparse_bf16_c032_pair03_low_final,controlled_raw_matched,sparse_bf16,32,32,1.980802594798885,0.022914139958510438,7.2485583063716765,65408,129560.33612060547,1.9578884548403745,2,2
sparse_bf16_c032_pair04_high_final,controlled_raw_matched,sparse_bf16,32,32,1.984411447715386,0.026522992875011475,7.274764545946008,65408,129796.38397216797,1.9578884548403745,1,1
sparse_bf16_c032_pair04_low_final,controlled_raw_matched,sparse_bf16,32,32,2.008013982362243,0.05012552752186861,7.448509776346887,65408,131340.1785583496,1.9578884548403745,0,0
sparse_bf16_c032_pair05_high_final,controlled_raw_matched,sparse_bf16,32,32,1.9811212265328184,0.023232771692443865,7.250868295071662,65408,129581.1771850586,1.9578884548403745,3,3
sparse_bf16_c032_pair05_low_final,controlled_raw_matched,sparse_bf16,32,32,1.994647937278225,0.036759482437850544,7.349615046874306,65408,130465.93228149414,1.9578884548403745,2,2
sparse_bf16_c032_pair06_high_final,controlled_raw_matched,sparse_bf16,32,32,1.98767814150995,0.029789686669575488,7.298567832000947,65408,130010.05187988281,1.9578884548403745,1,1
