module_index,module_name,layer,layer_bucket,module_type,module_family,out_features,in_features,numel,method,output_mse,output_rel_mse,output_rmse_over_rms,output_max_abs_error,output_ref_rms
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,dense_nvfp4,3.5880111681763083e-06,0.007740223208867781,0.08797853834241497,0.083984375,0.02153030344086814
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_bf16,1.025001529342262e-05,0.022111805829669304,0.14870038947383193,0.076171875,0.02153030344086814
11,model.language_model.layers.1.self_attn.o_proj,1,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_nvfp4,2.267354284413159e-05,0.048912412566041834,0.2211615078761262,0.123046875,0.02153030344086814
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_nvfp4,0.00023521107505075634,0.005677068394525687,0.07534632303255206,0.5,0.2035479909746637
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_bf16,0.0013853287091478705,0.03343637551520623,0.18285616072532593,3.25,0.2035479909746637
12,model.language_model.layers.1.mlp.gate_proj,1,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.002796338638290763,0.06749259447245759,0.2597933688000092,5.0,0.2035479909746637
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_nvfp4,0.00019970544963143766,0.010776957295561463,0.10381212499299618,0.4375,0.13612781608530555
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_bf16,0.001165361376479268,0.06288786716332427,0.25077453451920567,2.5,0.13612781608530555
13,model.language_model.layers.1.mlp.up_proj,1,layers_00_07,up_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.0021859994158148766,0.11796584617914532,0.3434615643403863,3.875,0.13612781608530555
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,dense_nvfp4,0.01164313405752182,0.0010442935807655198,0.032315531571761584,28.0,3.339055553923519
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_bf16,1.678356420597993e-05,1.5053479824315713e-06,0.0012269262334922875,0.25,3.339055553923519
14,model.language_model.layers.1.mlp.down_proj,1,layers_00_07,down_proj,mlp,4096,11008,45088768,sparse_nvfp4,0.012184225022792816,0.001092825000128305,0.033057903746733626,28.0,3.339055553923519
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,dense_nvfp4,0.0011151591315865517,0.001328375877465402,0.03644689119068185,0.3798828125,0.9162372247864363
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_bf16,0.006905605085194111,0.008225946373611612,0.09069700311262556,0.84375,0.9162372247864363
15,model.language_model.layers.2.self_attn.q_proj,2,layers_00_07,q_proj,attention,4096,4096,16777216,sparse_nvfp4,0.014592582359910011,0.017382662122179024,0.13184332414718244,1.375,0.9162372247864363
16,model.language_model.layers.2.self_attn.k_proj,2,layers_00_07,k_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
16,model.language_model.layers.2.self_attn.k_proj,2,layers_00_07,k_proj,attention,4096,4096,16777216,dense_nvfp4,0.0012677768245339394,0.0009779833891346366,0.03127272596264414,0.5,1.1385593260535356
16,model.language_model.layers.2.self_attn.k_proj,2,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_bf16,0.008870156481862068,0.006842581068221599,0.08271989523821702,1.75,1.1385593260535356
16,model.language_model.layers.2.self_attn.k_proj,2,layers_00_07,k_proj,attention,4096,4096,16777216,sparse_nvfp4,0.020468473434448242,0.01578970890810607,0.12565710846627845,2.875,1.1385593260535356
17,model.language_model.layers.2.self_attn.v_proj,2,layers_00_07,v_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
17,model.language_model.layers.2.self_attn.v_proj,2,layers_00_07,v_proj,attention,4096,4096,16777216,dense_nvfp4,0.00028410344384610653,0.01922474468050512,0.13865332552991694,0.154296875,0.1215648332558226
17,model.language_model.layers.2.self_attn.v_proj,2,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_bf16,0.0015481775626540184,0.10476225827882765,0.32366998359259025,0.353515625,0.1215648332558226
17,model.language_model.layers.2.self_attn.v_proj,2,layers_00_07,v_proj,attention,4096,4096,16777216,sparse_nvfp4,0.0027463361620903015,0.18583939289248405,0.43109093343804394,0.5234375,0.1215648332558226
18,model.language_model.layers.2.self_attn.o_proj,2,layers_00_07,o_proj,attention,4096,4096,16777216,dense_bf16,0.0,0.0,0.0,0.0,0.0
18,model.language_model.layers.2.self_attn.o_proj,2,layers_00_07,o_proj,attention,4096,4096,16777216,dense_nvfp4,5.803469775855774e-06,0.00963810777189175,0.09817386501453301,0.1328125,0.02453849790570932
18,model.language_model.layers.2.self_attn.o_proj,2,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_bf16,2.770233004412148e-05,0.0460066223845176,0.21449154385317293,0.234375,0.02453849790570932
18,model.language_model.layers.2.self_attn.o_proj,2,layers_00_07,o_proj,attention,4096,4096,16777216,sparse_nvfp4,5.379445065045729e-05,0.08933909073772434,0.2988964548764745,0.2890625,0.02453849790570932
19,model.language_model.layers.2.mlp.gate_proj,2,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
19,model.language_model.layers.2.mlp.gate_proj,2,layers_00_07,gate_proj,mlp,11008,4096,45088768,dense_nvfp4,0.00028222508262842894,0.01224699494103042,0.11066614180059961,0.21875,0.1518039370615385
19,model.language_model.layers.2.mlp.gate_proj,2,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_bf16,0.0016687900060787797,0.07241618133919264,0.2691025479983284,0.734375,0.1518039370615385
19,model.language_model.layers.2.mlp.gate_proj,2,layers_00_07,gate_proj,mlp,11008,4096,45088768,sparse_nvfp4,0.0030405109282583,0.13194122085014193,0.36323714134177126,1.03125,0.1518039370615385
20,model.language_model.layers.2.mlp.up_proj,2,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_bf16,0.0,0.0,0.0,0.0,0.0
20,model.language_model.layers.2.mlp.up_proj,2,layers_00_07,up_proj,mlp,11008,4096,45088768,dense_nvfp4,0.0002442609693389386,0.016810381502590076,0.12965485529894388,0.1112060546875,0.12054196125826994
