policy_index,policy_name,policy_json,label,backend_counts
27,policy_027_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_027_random.json,random_mixed,"{'dense_bf16': 60, 'dense_nvfp4': 49, 'sparse_bf16': 56, 'sparse_nvfp4': 59}"
28,policy_028_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_028_random.json,random_mixed,"{'dense_bf16': 50, 'dense_nvfp4': 62, 'sparse_bf16': 57, 'sparse_nvfp4': 55}"
29,policy_029_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_029_random.json,random_mixed,"{'dense_bf16': 57, 'dense_nvfp4': 50, 'sparse_bf16': 62, 'sparse_nvfp4': 55}"
30,policy_030_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_030_random.json,random_mixed,"{'dense_bf16': 59, 'dense_nvfp4': 57, 'sparse_bf16': 52, 'sparse_nvfp4': 56}"
31,policy_031_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_031_random.json,random_mixed,"{'dense_bf16': 52, 'dense_nvfp4': 55, 'sparse_bf16': 53, 'sparse_nvfp4': 64}"
32,policy_032_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_032_random.json,random_mixed,"{'dense_bf16': 56, 'dense_nvfp4': 57, 'sparse_bf16': 46, 'sparse_nvfp4': 65}"
33,policy_033_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_033_random.json,random_mixed,"{'dense_bf16': 51, 'dense_nvfp4': 64, 'sparse_bf16': 58, 'sparse_nvfp4': 51}"
34,policy_034_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_034_random.json,random_mixed,"{'dense_bf16': 51, 'dense_nvfp4': 57, 'sparse_bf16': 56, 'sparse_nvfp4': 60}"
35,policy_035_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_035_random.json,random_mixed,"{'dense_bf16': 51, 'dense_nvfp4': 71, 'sparse_bf16': 50, 'sparse_nvfp4': 52}"
36,policy_036_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_036_random.json,random_mixed,"{'dense_bf16': 55, 'dense_nvfp4': 54, 'sparse_bf16': 57, 'sparse_nvfp4': 58}"
37,policy_037_random,artifacts/debug/024_fakevlm_prefill_global_pareto/policies/stratified/policy_037_random.json,random_mixed,"{'dense_bf16': 64, 'dense_nvfp4': 51, 'sparse_bf16': 55, 'sparse_nvfp4': 54}"
