name,module_name,module_index,layer,module_type,module_family,n,k,selected_method,backend,quality_cost,latency_cost
model.language_model.layers.0.self_attn.q_proj,model.language_model.layers.0.self_attn.q_proj,1,0,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,2.9927648909750966e-06,0.201859
model.language_model.layers.0.self_attn.k_proj,model.language_model.layers.0.self_attn.k_proj,2,0,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,5.451558790605394e-06,0.201859
model.language_model.layers.0.self_attn.v_proj,model.language_model.layers.0.self_attn.v_proj,3,0,v_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,8.983196938551587e-05,0.201859
model.language_model.layers.0.self_attn.o_proj,model.language_model.layers.0.self_attn.o_proj,4,0,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0002429329466468601,0.201859
model.language_model.layers.0.mlp.gate_proj,model.language_model.layers.0.mlp.gate_proj,5,0,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.000507522817099104,0.2993950398151209
model.language_model.layers.0.mlp.up_proj,model.language_model.layers.0.mlp.up_proj,6,0,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.000615352236412095,0.2993950398151209
model.language_model.layers.0.mlp.down_proj,model.language_model.layers.0.mlp.down_proj,7,0,down_proj,mlp,4096,11008,sparse_bf16,sparse_bf16,3.527227221375371e-05,0.5130693747467034
model.language_model.layers.1.self_attn.q_proj,model.language_model.layers.1.self_attn.q_proj,8,1,q_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.00010441363397699752,0.201859
model.language_model.layers.1.self_attn.k_proj,model.language_model.layers.1.self_attn.k_proj,9,1,k_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.00014014411910904975,0.201859
model.language_model.layers.1.self_attn.v_proj,model.language_model.layers.1.self_attn.v_proj,10,1,v_proj,attention,4096,4096,sparse_bf16,sparse_bf16,0.00026601300941416986,0.215636
model.language_model.layers.1.self_attn.o_proj,model.language_model.layers.1.self_attn.o_proj,11,1,o_proj,attention,4096,4096,sparse_nvfp4,sparse_nvfp4,0.0004056858652589897,0.201859
model.language_model.layers.1.mlp.gate_proj,model.language_model.layers.1.mlp.gate_proj,12,1,gate_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0005230054093595929,0.2993950398151209
model.language_model.layers.1.mlp.up_proj,model.language_model.layers.1.mlp.up_proj,13,1,up_proj,mlp,11008,4096,sparse_nvfp4,sparse_nvfp4,0.0008603990129996813,0.2993950398151209
