batch_size,actual_batch_size,label,group,policy_json,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,warmup,iters,backend_counts,effective_dense_runtime,replaced_linear_count,skipped_linear_count
32,32,dense_default_amp,uncompressed,,102.810219,102.809902,102.830709,102.748062,102.946205,311.253107,float32+amp_bfloat16,100,50,{'dense_default': 224},default_amp,0,0
32,32,ours_extreme_fastest_microbench,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_015_extreme_fastest_microbench.json,73.708398,73.727711,73.761945,73.603004,73.777245,434.143202,bfloat16,100,50,"{'dense_bf16': 33, 'dense_nvfp4': 1, 'sparse_bf16': 190}",bf16_for_unreplaced_layers,191,0
32,32,ours_extreme_fastest_shape_stable,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_016_extreme_fastest_shape_stable.json,73.564722,73.572929,73.600785,73.438271,73.616035,434.991109,bfloat16,100,50,"{'dense_bf16': 33, 'sparse_bf16': 191}",bf16_for_unreplaced_layers,191,0
32,32,ours_gate_up_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_004_gate_up_sparse_bf16_64.json,87.610155,87.600624,87.625822,87.554337,88.135071,365.254462,bfloat16,100,50,"{'dense_bf16': 160, 'sparse_bf16': 64}",bf16_for_unreplaced_layers,64,0
32,32,ours_mlp_all_attn_sparse_bf16_64,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,75.661389,75.707916,75.805270,75.383133,76.308510,422.936990,bfloat16,100,50,"{'dense_bf16': 64, 'sparse_bf16': 160}",bf16_for_unreplaced_layers,160,0
32,32,ours_mlp_sparse_bf16_96,ours_candidate,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_006_mlp_sparse_bf16_96.json,79.260592,79.242783,79.350251,79.152252,79.401566,403.731529,bfloat16,100,50,"{'dense_bf16': 128, 'sparse_bf16': 96}",bf16_for_unreplaced_layers,96,0
32,32,uniform_dense_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_000_dense_bf16_reference.json,92.397177,92.393391,92.423916,92.338814,92.473373,346.330929,bfloat16,100,50,{'dense_bf16': 224},bf16_for_unreplaced_layers,0,0
32,32,uniform_dense_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_002_uniform_dense_nvfp4.json,114.590211,114.421856,114.779668,113.902077,117.610306,279.255965,bfloat16,100,50,{'dense_nvfp4': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_bf16,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,72.047323,72.038082,72.084208,71.949921,72.266113,444.152516,bfloat16,100,50,{'sparse_bf16': 224},bf16_for_unreplaced_layers,224,0
32,32,uniform_sparse_nvfp4,uniform,/root/wja/project/my/cospaq/fake/artifacts/debug/030_mirror_global_pareto/policies/keyfix_uniform/policy_004_uniform_sparse_nvfp4.json,108.004261,107.135075,109.471614,106.839684,121.336349,296.284607,bfloat16,100,50,{'sparse_nvfp4': 224},bf16_for_unreplaced_layers,224,0
