scenario,batch,input_seq,output_seq,policy_name,quality_budget,quality_cost,policy_predicted_speedup_vs_dense,dense_bf16_ms,best_single_method,best_single_ms,original_hetero_ms,optimized_hetero_ms,optimized_status,optimized_speedup_vs_dense,optimized_speedup_vs_best_single,optimized_speedup_vs_best_single_label,optimized_speedup_vs_original_hetero,optimized_arc_acc,optimized_arc_acc_norm,optimized_quality_sample_len,max_speed_policy_name,max_speed_quality_cost,max_speed_hetero_ms,max_speed_status,max_speed_speedup_vs_dense,max_speed_speedup_vs_best_single,max_speed_speedup_vs_best_single_label,max_speed_arc_acc,max_speed_arc_acc_norm,max_speed_quality_sample_len,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,measured_best_method_before,measured_best_speedup_before,measured_hetero_speedup_before
b2_in16384_out128,2,16384,128,policy_000_4f5ae62f3f,0.29584014634,0.216190828861,1.165973,45993.314,marlin_nvfp4,5392.081,5393.556,6339.181,OK,7.255,0.851,0.851 (marlin_nvfp4),0.851,0.4249146757679181,0.44283276450511944,1172,maxspeed_000_4f5ae62f3f,0.216190828861,6239.565,OK,7.371,0.864,0.864 (marlin_nvfp4),0.4249146757679181,0.44283276450511944,1172,64,64,0,0,marlin_nvfp4,8.530,8.527
b2_in16384_out64,2,16384,64,policy_001_2ac520a243,0.29584014634,0.266931300353,1.336936,24045.495,sparse_bf16,3802.114,3786.937,4253.670,OK,5.653,0.894,0.894 (sparse_bf16),0.890,0.40273037542662116,0.4308873720136519,1172,maxspeed_001_2ac520a243,0.266931300353,4212.711,OK,5.708,0.903,0.903 (sparse_bf16),0.40273037542662116,0.4308873720136519,1172,32,96,0,0,hetero,6.350,6.350
b4_in16384_out128,4,16384,128,policy_000_4f5ae62f3f,0.29584014634,0.216190828861,1.289614,129220.086,sparse_nvfp4,31531.113,38455.919,34973.885,OK,3.695,0.902,0.902 (sparse_nvfp4),1.100,0.4249146757679181,0.44283276450511944,1172,maxspeed_000_4f5ae62f3f,0.216190828861,34982.399,OK,3.694,0.901,0.901 (sparse_nvfp4),0.4249146757679181,0.44283276450511944,1172,64,64,0,0,sparse_nvfp4,4.098,3.360
b4_in16384_out64,4,16384,64,policy_001_2ac520a243,0.29584014634,0.266931300353,1.480557,66754.502,sparse_nvfp4,17248.284,21192.516,18219.566,OK,3.664,0.947,0.947 (sparse_nvfp4),1.163,0.40273037542662116,0.4308873720136519,1172,maxspeed_001_2ac520a243,0.266931300353,18549.512,OK,3.599,0.930,0.930 (sparse_nvfp4),0.40273037542662116,0.4308873720136519,1172,32,96,0,0,sparse_nvfp4,3.870,3.150
b8_in16384_out128,8,16384,128,policy_002_605d24248e,0.29584014634,0.271049145648,1.961978,295592.915,sparse_nvfp4,81987.028,104655.532,23096.472,OK,12.798,3.550,3.550 (sparse_nvfp4),4.531,0.3319112627986348,0.36177474402730375,1172,maxspeed_002_1556299ab3,0.530133636441,92514.528,OK,3.195,0.886,0.886 (sparse_nvfp4),0.2935153583617747,0.3361774744027304,1172,54,1,73,0,sparse_nvfp4,3.605,2.824
b8_in16384_out64,8,16384,64,policy_003_23b5bafdf0,0.29584014634,0.270692073268,2.118341,152027.089,sparse_nvfp4,43778.766,55962.708,15766.101,OK,9.643,2.777,2.777 (sparse_nvfp4),3.550,0.3370307167235495,0.3660409556313993,1172,maxspeed_002_1556299ab3,0.530133636441,49541.042,OK,3.069,0.884,0.884 (sparse_nvfp4),0.2935153583617747,0.3361774744027304,1172,53,1,74,0,sparse_nvfp4,3.473,2.717
b4_in1024_out1,4,1024,1,policy_001_2ac520a243,0.29584014634,0.266931300353,2.045223,285.872,sparse_nvfp4,115.757,153.884,141.429,OK,2.021,0.818,0.818 (sparse_nvfp4),1.088,0.40273037542662116,0.4308873720136519,1172,maxspeed_003_74a8a502ad,0.32132498665,131.223,OK,2.179,0.882,0.882 (sparse_nvfp4),0.4104095563139932,0.431740614334471,1172,32,96,0,0,sparse_nvfp4,2.470,1.858
b2_in1024_out1,2,1024,1,policy_001_2ac520a243,0.29584014634,0.266931300353,1.887154,157.766,sparse_nvfp4,64.257,81.105,72.836,OK,2.166,0.882,0.882 (sparse_nvfp4),1.114,0.40273037542662116,0.4308873720136519,1172,maxspeed_003_74a8a502ad,0.32132498665,69.487,OK,2.270,0.925,0.925 (sparse_nvfp4),0.4104095563139932,0.431740614334471,1172,32,96,0,0,sparse_nvfp4,2.455,1.945
b4_in512_out1,4,512,1,policy_001_2ac520a243,0.29584014634,0.266931300353,1.883598,154.390,sparse_nvfp4,67.543,84.882,79.721,OK,1.937,0.847,0.847 (sparse_nvfp4),1.065,0.40273037542662116,0.4308873720136519,1172,maxspeed_003_74a8a502ad,0.32132498665,75.824,OK,2.036,0.891,0.891 (sparse_nvfp4),0.4104095563139932,0.431740614334471,1172,32,96,0,0,sparse_nvfp4,2.286,1.819
b2_in4096_out1,2,4096,1,policy_001_2ac520a243,0.29584014634,0.266931300353,2.131094,591.104,sparse_nvfp4,261.682,325.218,315.254,OK,1.875,0.830,0.830 (sparse_nvfp4),1.032,0.40273037542662116,0.4308873720136519,1172,maxspeed_003_74a8a502ad,0.32132498665,291.343,OK,2.029,0.898,0.898 (sparse_nvfp4),0.4104095563139932,0.431740614334471,1172,32,96,0,0,sparse_nvfp4,2.259,1.818
