policy_kind,policy_name,quality_cost,arc_acc,arc_acc_norm,sample_len,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,scenarios,assignment_summary
optimized_hetero,policy_000_4f5ae62f3f,0.216190828861,0.4249146757679181,0.44283276450511944,1172,64,64,0,0,"b2_in16384_out128, b4_in16384_out128",dense_bf16: mlp.down_proj@0-31; self_attn.o_proj@0-31 | dense_nvfp4: mlp.gate_up_proj@0-31; self_attn.qkv_proj@0-31
optimized_hetero,policy_001_2ac520a243,0.266931300353,0.40273037542662116,0.4308873720136519,1172,32,96,0,0,"b2_in16384_out64, b4_in16384_out64, b4_in1024_out1, b2_in1024_out1, b4_in512_out1, b2_in4096_out1, b1_in4096_out1",dense_bf16: self_attn.o_proj@0-31 | dense_nvfp4: mlp.down_proj@0-31; mlp.gate_up_proj@0-31; self_attn.qkv_proj@0-31
optimized_hetero,policy_002_605d24248e,0.271049145648,0.3319112627986348,0.36177474402730375,1172,54,1,73,0,b8_in16384_out128,"dense_bf16: mlp.down_proj@5; self_attn.o_proj@1-31; self_attn.qkv_proj@7,9,11-14,16-31 | dense_nvfp4: mlp.gate_up_proj@1 | sparse_bf16: mlp.down_proj@0-4,6-31; mlp.gate_up_proj@0,2-31; self_attn.o_proj@0; self_attn.qkv_proj@0-6,8,10,15"
optimized_hetero,policy_003_23b5bafdf0,0.270692073268,0.3370307167235495,0.3660409556313993,1172,53,1,74,0,b8_in16384_out64,"dense_bf16: self_attn.o_proj@1-30; self_attn.qkv_proj@7,9-14,16-31 | dense_nvfp4: mlp.gate_up_proj@1 | sparse_bf16: mlp.down_proj@0-31; mlp.gate_up_proj@0,2-31; self_attn.o_proj@0,31; self_attn.qkv_proj@0-6,8,15"
optimized_hetero,policy_004_4831f76351,0.267393081971,0.40784982935153585,0.43686006825938567,1172,30,83,15,0,b8_in512_out1,"dense_bf16: self_attn.o_proj@1-24,27-31; self_attn.qkv_proj@31 | dense_nvfp4: mlp.down_proj@2-14,17,19-22,24-25,27; mlp.gate_up_proj@0-31; self_attn.qkv_proj@1-30 | sparse_bf16: mlp.down_proj@0-1,15-16,18,23,26,28-31; self_attn.o_proj@0,25-26; self_attn.qkv_proj@0"
optimized_hetero,policy_005_023ac1246d,0.277551275605,0.3848122866894198,0.4061433447098976,1172,62,12,54,0,b128_in256_out64,"dense_bf16: mlp.down_proj@2-17,19-22,24-25,27-29; self_attn.o_proj@1-31; self_attn.qkv_proj@19,24-25,29-31 | dense_nvfp4: mlp.gate_up_proj@0-3,5-8,19-20,24; self_attn.qkv_proj@20 | sparse_bf16: mlp.down_proj@0-1,18,23,26,30-31; mlp.gate_up_proj@4,9-18,21-23,25-31; self_attn.o_proj@0; self_attn.qkv_proj@0-18,21-23,26-28"
optimized_hetero,policy_006_4db717c6ec,0.270673371768,0.3412969283276451,0.3660409556313993,1172,53,2,73,0,"b32_in4096_out16, b256_in512_out16","dense_bf16: self_attn.o_proj@1-31; self_attn.qkv_proj@7,9,11-14,16-31 | dense_nvfp4: mlp.gate_up_proj@0-1 | sparse_bf16: mlp.down_proj@0-31; mlp.gate_up_proj@2-31; self_attn.o_proj@0; self_attn.qkv_proj@0-6,8,10,15"
optimized_hetero,policy_007_f74a83b67c,0.267033012553,0.40102389078498296,0.42662116040955633,1172,34,64,30,0,b64_in512_out16,"dense_bf16: self_attn.o_proj@1-30; self_attn.qkv_proj@21,29-31 | dense_nvfp4: mlp.down_proj@2,5,7-9,19-20,24; mlp.gate_up_proj@0-31; self_attn.qkv_proj@3,5-20,22-28 | sparse_bf16: mlp.down_proj@0-1,3-4,6,10-18,21-23,25-31; self_attn.o_proj@0,31; self_attn.qkv_proj@0-2,4"
max_speed_hetero,maxspeed_000_4f5ae62f3f,0.216190828861,0.4249146757679181,0.44283276450511944,1172,64,64,0,0,"b2_in16384_out128, b4_in16384_out128",dense_bf16: mlp.down_proj@0-31; self_attn.o_proj@0-31 | dense_nvfp4: mlp.gate_up_proj@0-31; self_attn.qkv_proj@0-31
max_speed_hetero,maxspeed_001_2ac520a243,0.266931300353,0.40273037542662116,0.4308873720136519,1172,32,96,0,0,"b2_in16384_out64, b4_in16384_out64",dense_bf16: self_attn.o_proj@0-31 | dense_nvfp4: mlp.down_proj@0-31; mlp.gate_up_proj@0-31; self_attn.qkv_proj@0-31
