batch_size,point_index,quality_budget,quality_cost,latency_ms,dense_latency_ms,speedup_vs_dense_linear,policy_json,selection_reason,label,count_dense_default,count_dense_bf16,count_dense_nvfp4,count_sparse_bf16,count_sparse_nvfp4,key,actual_batch_size,forward_mean_ms,forward_p50_ms,forward_p90_ms,forward_min_ms,forward_max_ms,images_per_sec,runtime_dtype,effective_dense_runtime,replaced_linear_count,skipped_linear_count,backend_counts,runtime_skipped,warmup,iters
16,8,,,,,,artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_008_mlp_all_plus_attn_sparse_bf16_64.json,speedaware_frontier,mlp_all_plus_attn_sparse_bf16_64,0,64,0,160,0,batch_16_point_008,16,44.709941,44.277424,45.395511,44.034721,49.681824,357.862252,bfloat16,bf16_for_unreplaced_layers,160,0,"{'dense_bf16': 64, 'sparse_bf16': 160}",[],5,20
16,9,,,,,,artifacts/debug/030_mirror_global_pareto/speedaware_frontier/policies/policy_009_uniform_sparse_bf16.json,speedaware_frontier,uniform_sparse_bf16,0,0,0,224,0,batch_16_point_009,16,39.111557,38.965937,38.989553,38.932991,41.867104,409.086245,bfloat16,bf16_for_unreplaced_layers,224,0,{'sparse_bf16': 224},[],5,20
