label,historical_ms,bad_batch_sweep_ms,new_batch_sweep_ms,new_validate_script_ms,new_minus_historical_ms,bad_minus_historical_ms
dense_default_amp,56.528820,62.465486,62.792385,,+6.263565,+5.936666
uniform_dense_bf16,52.194736,52.062705,52.179034,,-0.015702,-0.132031
uniform_dense_nvfp4,73.527842,82.853990,82.165089,,+8.637247,+9.326148
uniform_sparse_bf16,39.585003,45.637753,39.472561,39.588909,-0.112442,+6.052750
uniform_sparse_nvfp4,81.589928,93.132520,70.150161,,-11.439767,+11.542592
ours_gate_up_sparse_bf16_64,46.178394,46.241950,45.876776,,-0.301618,+0.063556
ours_mlp_sparse_bf16_96,42.747555,42.974101,42.654099,,-0.093456,+0.226546
ours_mlp_all_attn_sparse_bf16_64,41.334971,43.618744,41.570876,,+0.235905,+2.283773
ours_extreme_fastest_microbench,,42.785964,44.026669,,,
amp_dense_original,56.528820,,,,,
amp_dense_recheck_gpu1,55.579517,,,,,
