module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.3.mlp.down_proj,28,3,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.11470216294820376,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.4.self_attn.q_proj,29,4,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.1345407211116391,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.self_attn.k_proj,30,4,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.09313167510141829,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.self_attn.v_proj,31,4,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.9467076287915875,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.self_attn.o_proj,32,4,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.8468209312739868,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.4.mlp.gate_proj,33,4,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.06486803731477173,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.4.mlp.up_proj,34,4,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.10822036802679082,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.4.mlp.down_proj,35,4,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.222175507954958,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.5.self_attn.q_proj,36,5,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.15731457133160537,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.5.self_attn.k_proj,37,5,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.10879023796620516,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.5.self_attn.v_proj,38,5,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0484608106893922,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.5.self_attn.o_proj,39,5,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.9244478816528893,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.5.mlp.gate_proj,40,5,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.05959060333097865,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.5.mlp.up_proj,41,5,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.10590847199958228,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.5.mlp.down_proj,42,5,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.12105174900057407,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.6.self_attn.q_proj,43,6,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.20859847171087248,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.6.self_attn.k_proj,44,6,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.1638864298280838,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.6.self_attn.v_proj,45,6,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0089523263870694,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.6.self_attn.o_proj,46,6,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,0.9909775106514949,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.6.mlp.gate_proj,47,6,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.054255343254532296,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.6.mlp.up_proj,48,6,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.10564888491284133,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.6.mlp.down_proj,49,6,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.12298200363300942,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.7.self_attn.q_proj,50,7,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.22797188341679822,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.7.self_attn.k_proj,51,7,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.17620591900743213,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.7.self_attn.v_proj,52,7,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.0500676764221775,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.7.self_attn.o_proj,53,7,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.141001083311803,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.7.mlp.gate_proj,54,7,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.05326863751877816,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.7.mlp.up_proj,55,7,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.10371021152041374,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.7.mlp.down_proj,56,7,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.12540010338982205,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.8.self_attn.q_proj,57,8,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.2169768201293815,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.8.self_attn.k_proj,58,8,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.15325417070279537,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.8.self_attn.v_proj,59,8,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.9103632138910849,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.8.self_attn.o_proj,60,8,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.129559404746291,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.8.mlp.gate_proj,61,8,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04834281622402615,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.8.mlp.up_proj,62,8,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.08821979126557734,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.8.mlp.down_proj,63,8,down_proj,mlp,mlp.down_proj,4096,11008,dense_nvfp4_prefill_marlin_decode,0.1150896015401307,6.763785835513664,4.934856405513043,0.03955085119545705,0.5633021917459957,marlin_nvfp4,32
model.layers.9.self_attn.q_proj,64,9,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.2411499307367861,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.9.self_attn.k_proj,65,9,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.16377203561285325,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.9.self_attn.v_proj,66,9,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,0.961309080843067,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.9.self_attn.o_proj,67,9,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2702453285479816,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.9.mlp.gate_proj,68,9,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.04758673289697949,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
