method,policy_path,no_hook_prefill_ms,no_hook_decode_x_n_ms,no_hook_e2e_ms,traced_prefill_ms,traced_decode_x_n_ms,traced_e2e_ms,traced_linear_sum_ms,replaced_linear_count,backend_counts
sparse_bf16,/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/single/sparse_bf16/normal_01/qwen35-9b_policy.json,2644.413818359375,2045.500991821289,4689.914810180664,2429.18701171875,2156.233055114746,4585.420066833496,1479.9216613695025,248,{'sparse_bf16': 248}
manual,/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/manual/normal_01/qwen35-9b_policy.json,2516.549560546875,1237.2962341308594,3753.8457946777344,2525.930908203125,1762.6095352172852,4288.54044342041,1140.5319651402533,248,"{'marlin_nvfp4': 128, 'bf16': 56, 'dense_nvfp4/marlin_nvfp4': 64}"
pred,/root/wja/project/my/cospaq/fake/artifacts/results/main/001_hybrid_policy_retest/pred/normal_01/qwen35-9b_policy.json,2526.5048828125,1515.8950424194336,4042.3999252319336,2545.134521484375,2111.825553894043,4656.960075378418,1099.3385571092367,248,"{'marlin_nvfp4': 56, 'dense_nvfp4/marlin_nvfp4': 128, 'bf16': 64}"
