method,group,region,backend,calls,total_ms,avg_ms,first_ms,max_ms
sparse_bf16,linear_attn.in_proj_a,decode,sparse_bf16,768,79.029599994421,0.10290312499273568,0.11926399916410446,0.23311999440193176
sparse_bf16,linear_attn.in_proj_a,prefill,sparse_bf16,24,3.3034879714250565,0.13764533214271069,0.14448000490665436,0.14448000490665436
sparse_bf16,linear_attn.in_proj_b,decode,sparse_bf16,768,81.09417592734098,0.1055913749053919,0.12511999905109406,1.4440959692001343
sparse_bf16,linear_attn.in_proj_b,prefill,sparse_bf16,24,3.308127999305725,0.13783866663773855,0.16499200463294983,0.16499200463294983
sparse_bf16,linear_attn.in_proj_qkv,decode,sparse_bf16,768,89.67270395159721,0.11676133327030887,0.23692800104618073,0.23692800104618073
sparse_bf16,linear_attn.in_proj_qkv,prefill,sparse_bf16,24,57.65529465675354,2.4023039440313974,2.406399965286255,2.411520004272461
sparse_bf16,linear_attn.in_proj_z,decode,sparse_bf16,768,81.58115194737911,0.10622545826481655,0.14195199310779572,0.14428800344467163
sparse_bf16,linear_attn.in_proj_z,prefill,sparse_bf16,24,31.342943906784058,1.3059559961160023,1.3440959453582764,1.3440959453582764
sparse_bf16,linear_attn.out_proj,decode,sparse_bf16,768,98.76358387619257,0.12859841650545908,0.17257599532604218,0.4840640127658844
sparse_bf16,linear_attn.out_proj,prefill,sparse_bf16,24,29.700128078460693,1.2375053366025288,1.240064024925232,1.2421120405197144
sparse_bf16,mlp.down_proj,decode,sparse_bf16,1024,200.78224009275436,0.19607640634058043,0.21910400688648224,0.23187200725078583
sparse_bf16,mlp.down_proj,prefill,sparse_bf16,32,113.81555199623108,3.556735999882221,3.565567970275879,3.5727360248565674
sparse_bf16,mlp.gate_proj,decode,sparse_bf16,1024,118.4705918431282,0.11569393734680489,0.1422400027513504,0.16156800091266632
sparse_bf16,mlp.gate_proj,prefill,sparse_bf16,32,114.35113668441772,3.573473021388054,3.5716800689697266,3.5870718955993652
sparse_bf16,mlp.up_proj,decode,sparse_bf16,1024,111.44966401159763,0.10883756251132581,0.12624000012874603,0.14313599467277527
sparse_bf16,mlp.up_proj,prefill,sparse_bf16,32,114.12073516845703,3.5662729740142822,3.565567970275879,3.5788800716400146
sparse_bf16,self_attn.k_proj,decode,sparse_bf16,256,28.247935988008976,0.11034349995316006,0.12863999605178833,0.13504000008106232
sparse_bf16,self_attn.k_proj,prefill,sparse_bf16,8,2.8825600147247314,0.36032000184059143,0.35942399501800537,0.3614720106124878
sparse_bf16,self_attn.o_proj,decode,sparse_bf16,256,31.406848035752773,0.12268300013965927,0.14790399372577667,0.16195200383663177
sparse_bf16,self_attn.o_proj,prefill,sparse_bf16,8,9.869311809539795,1.2336639761924744,1.2380160093307495,1.2380160093307495
sparse_bf16,self_attn.q_proj,decode,sparse_bf16,256,29.438112042844296,0.11499262516736053,0.13007999956607819,0.1576319932937622
sparse_bf16,self_attn.q_proj,prefill,sparse_bf16,8,19.211263418197632,2.401407927274704,2.3992319107055664,2.406399965286255
sparse_bf16,self_attn.v_proj,decode,sparse_bf16,256,27.5572160333395,0.10764537513023242,0.12751999497413635,0.12751999497413635
sparse_bf16,self_attn.v_proj,prefill,sparse_bf16,8,2.8672959208488464,0.3584119901061058,0.35839998722076416,0.35843199491500854
manual,linear_attn.in_proj_a,decode,bf16,768,30.83036806434393,0.04014370841711449,0.047775998711586,0.0597120001912117
manual,linear_attn.in_proj_a,prefill,bf16,24,5.371040016412735,0.22379333401719728,0.22431999444961548,0.230880007147789
manual,linear_attn.in_proj_b,decode,bf16,768,44.93919997289777,0.058514583298043966,0.09228800237178802,0.31564798951148987
manual,linear_attn.in_proj_b,prefill,bf16,24,6.253855973482132,0.26057733222842216,0.25884801149368286,0.2740800082683563
manual,linear_attn.in_proj_qkv,decode,marlin_nvfp4,768,39.87907197326422,0.05192587496518778,0.10569600015878677,0.10569600015878677
manual,linear_attn.in_proj_qkv,prefill,marlin_nvfp4,24,116.03251218795776,4.8346880078315735,4.831232070922852,4.855807781219482
manual,linear_attn.in_proj_z,decode,marlin_nvfp4,768,34.96239999309182,0.04552395832433831,0.07727999985218048,0.07727999985218048
manual,linear_attn.in_proj_z,prefill,marlin_nvfp4,24,57.67907214164734,2.4032946725686393,2.444000005722046,2.444000005722046
manual,linear_attn.out_proj,decode,marlin_nvfp4,768,51.82403199002147,0.06747920832034045,0.09532800316810608,0.18134400248527527
manual,linear_attn.out_proj,prefill,marlin_nvfp4,24,56.77459001541138,2.3656079173088074,2.3644158840179443,2.368511915206909
manual,mlp.down_proj,decode,marlin_nvfp4,1024,51.520064033567905,0.05031256253278116,0.06313599646091461,0.06313599646091461
manual,mlp.down_proj,prefill,marlin_nvfp4,32,221.90697383880615,6.934592932462692,6.92633581161499,6.964223861694336
manual,mlp.gate_proj,decode,marlin_nvfp4,1024,57.814912024885416,0.056459875024302164,0.0711359977722168,0.07423999905586243
manual,mlp.gate_proj,prefill,dense_nvfp4,32,94.73171281814575,2.9603660255670547,2.960383892059326,2.982912063598633
manual,mlp.up_proj,decode,marlin_nvfp4,1024,50.92367992922664,0.04973015618088539,0.05318399891257286,0.09494400024414062
manual,mlp.up_proj,prefill,dense_nvfp4,32,94.72348880767822,2.9601090252399445,2.9542720317840576,2.98089599609375
manual,self_attn.k_proj,decode,marlin_nvfp4,256,12.723136015236378,0.0496997500595171,0.057920001447200775,0.05907199904322624
manual,self_attn.k_proj,prefill,marlin_nvfp4,8,4.852672100067139,0.6065840125083923,0.605184018611908,0.609279990196228
manual,self_attn.o_proj,decode,bf16,256,18.658751986920834,0.0728857499489095,0.07983999699354172,0.11718399822711945
manual,self_attn.o_proj,prefill,bf16,8,19.33516836166382,2.4168960452079773,2.4238080978393555,2.425856113433838
manual,self_attn.q_proj,decode,marlin_nvfp4,256,13.09647998958826,0.05115812495932914,0.05984000116586685,0.061216000467538834
manual,self_attn.q_proj,prefill,marlin_nvfp4,8,38.629374980926514,4.828671872615814,4.827136039733887,4.832255840301514
manual,self_attn.v_proj,decode,marlin_nvfp4,256,12.203392013907433,0.04766950005432591,0.05660799890756607,0.2483839988708496
manual,self_attn.v_proj,prefill,marlin_nvfp4,8,4.866015911102295,0.6082519888877869,0.6082559823989868,0.6103039979934692
pred,linear_attn.in_proj_a,decode,bf16,768,35.406208008527756,0.04610183334443718,0.05651199817657471,0.06774400174617767
pred,linear_attn.in_proj_a,prefill,bf16,24,5.547871977090836,0.2311613323787848,0.2277120053768158,0.23695999383926392
pred,linear_attn.in_proj_b,decode,bf16,768,61.95820803195238,0.08067475004160467,0.12428800016641617,0.19859200716018677
pred,linear_attn.in_proj_b,prefill,bf16,24,7.18531197309494,0.29938799887895584,0.3048959970474243,0.3208959996700287
pred,linear_attn.in_proj_qkv,decode,marlin_nvfp4,768,44.36172805726528,0.05776266674123084,0.1218239963054657,0.15958400070667267
pred,linear_attn.in_proj_qkv,prefill,dense_nvfp4,24,59.35443139076233,2.4731013079484305,2.4739840030670166,2.490367889404297
pred,linear_attn.in_proj_z,decode,marlin_nvfp4,768,39.94640003889799,0.05201354171731509,0.09459199756383896,0.09459199756383896
pred,linear_attn.in_proj_z,prefill,marlin_nvfp4,24,58.52614378929138,2.4385893245538077,2.4436159133911133,2.4544320106506348
pred,linear_attn.out_proj,decode,marlin_nvfp4,768,66.00230397284031,0.08594049996463582,0.13123199343681335,0.37859201431274414
pred,linear_attn.out_proj,prefill,marlin_nvfp4,24,56.78271770477295,2.365946571032206,2.3644158840179443,2.368511915206909
pred,mlp.down_proj,decode,marlin_nvfp4,1024,53.16377601400018,0.05191775001367205,0.053279999643564224,0.07452800124883652
pred,mlp.down_proj,prefill,dense_nvfp4,32,182.90220832824707,5.715694010257721,5.708799839019775,5.733407974243164
pred,mlp.gate_proj,decode,marlin_nvfp4,1024,64.63728009536862,0.06312234384313342,0.07436800003051758,0.23452800512313843
pred,mlp.gate_proj,prefill,dense_nvfp4,32,94.83923172950745,2.9637259915471077,2.9665279388427734,2.9788479804992676
pred,mlp.up_proj,decode,marlin_nvfp4,1024,53.54982392862439,0.05229474993029726,0.05628800019621849,0.1218239963054657
pred,mlp.up_proj,prefill,dense_nvfp4,32,94.77455997467041,2.9617049992084503,2.9470720291137695,2.974720001220703
pred,self_attn.k_proj,decode,bf16,256,22.250047996640205,0.0869142499868758,0.10063999891281128,0.1528320014476776
pred,self_attn.k_proj,prefill,bf16,8,5.9740161299705505,0.7467520162463188,0.7475200295448303,0.7485439777374268
pred,self_attn.o_proj,decode,marlin_nvfp4,256,20.16259204596281,0.07876012517954223,0.09177599847316742,0.46217599511146545
pred,self_attn.o_proj,prefill,marlin_nvfp4,8,18.89891219139099,2.362364023923874,2.362368106842041,2.3664638996124268
pred,self_attn.q_proj,decode,marlin_nvfp4,256,14.544544033706188,0.0568146251316648,0.06480000168085098,0.08832000195980072
pred,self_attn.q_proj,prefill,dense_nvfp4,8,19.742879629135132,2.4678599536418915,2.467871904373169,2.471967935562134
pred,self_attn.v_proj,decode,bf16,256,12.839008007198572,0.05015237502811942,0.05737600103020668,0.06678400188684464
pred,self_attn.v_proj,prefill,bf16,8,5.988352060317993,0.7485440075397491,0.749567985534668,0.749567985534668
