method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_bf16,none,baseline,,,0,0,dense_bf16,none,1.9578884548403745,0.0,7.084352330933277,65408,128061.56805419922,1.9578884548403745
dense_nvfp4,layer:0,layer,0,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9609382885076294,0.0030498336672548643,7.105991408203085,65408,128261.05157470703,1.9578884548403745
dense_nvfp4,layer:1,layer,1,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9811764575263993,0.02328800268602471,7.251268778791378,65408,129584.78973388672,1.9578884548403745
dense_nvfp4,layer:2,layer,2,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9624539914663057,0.004565536625931177,7.116770147024439,65408,128360.19067382812,1.9578884548403745
dense_nvfp4,layer:3,layer,3,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9594509400966815,0.001562485256306978,7.095430179234413,65408,128163.76708984375,1.9578884548403745
dense_nvfp4,layer:4,layer,4,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9593928667430542,0.001504411902679692,7.095018135772966,65408,128159.96862792969,1.9578884548403745
dense_nvfp4,layer:5,layer,5,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9593216379094731,0.0014331830690985647,7.0945127839049436,65408,128155.30969238281,1.9578884548403745
dense_nvfp4,layer:6,layer,6,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9593789096914391,0.001490454851064582,7.094919110929684,65408,128159.05572509766,1.9578884548403745
dense_nvfp4,layer:7,layer,7,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581191432452716,0.00023068840489703923,7.08598679739121,65408,128076.65692138672,1.9578884548403745
dense_nvfp4,layer:8,layer,8,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.959792275718047,0.0019038208776724908,7.09785251569484,65408,128186.09317016602,1.9578884548403745
dense_nvfp4,layer:9,layer,9,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9600558271613373,0.002167372320962757,7.099723411497428,65408,128203.33154296875,1.9578884548403745
dense_nvfp4,layer:10,layer,10,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9590500693498525,0.0011616145094779373,7.092586398871652,65408,128137.54693603516,1.9578884548403745
dense_nvfp4,layer:11,layer,11,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.959159996644858,0.0012715418044835225,7.093366110564087,65408,128144.73706054688,1.9578884548403745
dense_nvfp4,layer:12,layer,12,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9591988248134546,0.0013103699730800944,7.093641538326488,65408,128147.27673339844,1.9578884548403745
dense_nvfp4,layer:13,layer,13,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9606386042854325,0.0027501494450579145,7.103862173759899,65408,128241.44982910156,1.9578884548403745
dense_nvfp4,layer:14,layer,14,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.959710689906738,0.0018222350663634757,7.097273455260674,65408,128180.75680541992,1.9578884548403745
dense_nvfp4,layer:15,layer,15,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9589597465007507,0.001071291660376117,7.0919458051911635,65408,128131.6390991211,1.9578884548403745
dense_nvfp4,layer:16,layer,16,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9602453116101528,0.0023568567697782594,7.1010688261383486,65408,128215.72534179688,1.9578884548403745
dense_nvfp4,layer:17,layer,17,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9602310713489928,0.0023426165086182227,7.100967705783741,65408,128214.79391479492,1.9578884548403745
dense_nvfp4,layer:18,layer,18,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9583434806644566,0.00045502582408207815,7.087576627704263,65408,128091.33038330078,1.9578884548403745
dense_nvfp4,layer:19,layer,19,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9595785850181504,0.0016901301777758615,7.096335932668613,65408,128172.11608886719,1.9578884548403745
dense_nvfp4,layer:20,layer,20,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958712809239815,0.0008243543994403968,7.090194755727903,65408,128115.48742675781,1.9578884548403745
dense_nvfp4,layer:21,layer,21,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9601021979419686,0.0022137431015940567,7.100052638847491,65408,128206.36456298828,1.9578884548403745
dense_nvfp4,layer:22,layer,22,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9595126331202437,0.0016241782798691595,7.09586793127863,65408,128167.8023071289,1.9578884548403745
dense_nvfp4,layer:23,layer,23,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9592967943202726,0.0014083394798980464,7.094336532933125,65408,128153.68472290039,1.9578884548403745
dense_nvfp4,layer:24,layer,24,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9574401723895287,-0.0004482824508458272,7.081177251827004,65408,128032.2467956543,1.9578884548403745
dense_nvfp4,layer:25,layer,25,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9609571249750963,0.003068670134721785,7.106125261239721,65408,128262.2836303711,1.9578884548403745
dense_nvfp4,layer:26,layer,26,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9589037843879655,0.0010153295475909818,7.091548936025069,65408,128127.97872924805,1.9578884548403745
dense_nvfp4,layer:27,layer,27,,7,7,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9595215021980719,0.0016330473576973148,7.095930865362654,65408,128168.38241577148,1.9578884548403745
