policy_id,policy_json,repaired_unsupported_actions,raw_predicted_prefill_ms,raw_predicted_decode_ms,raw_predicted_linear_ms,e2e_median_ms,e2e_samples_ms,split,raw_dense_scaled_ms,monotone_prediction_ms
p00,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p00.json,0,1004.271904903171,10.943737066153002,1693.7273400708102,2291.8431889265776,"[2308.999190106988, 2290.9262366592884, 2291.8431889265776, 2300.8845150470734, 2286.1564867198467]",train,2291.8431889265776,2641.669706441462
p01,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p01.json,0,480.88503878549784,19.563422702573337,1713.380669047618,2853.9937417954206,"[2853.9937417954206, 2783.6423851549625, 2888.058679178357, 2888.9491762965918, 2763.2951699197292]",train,2318.436812994397,2712.1334932744503
p02,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p02.json,0,491.2627846349891,11.541034726955598,1218.347972433192,2020.7710321992636,"[2042.4848794937134, 2024.939887225628, 2002.9092505574226, 2001.7111226916313, 2020.7710321992636]",train,1648.5903228360119,1973.302848637104
p03,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p03.json,0,413.3742463368507,19.563422702573337,1645.8698765989711,2991.4962239563465,"[2941.2935320287943, 3015.693310648203, 2896.136648952961, 2991.4962239563465, 2996.7399891465902]",train,2227.085539272855,2641.669706441462
p04,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p04.json,0,952.1825574477415,5.2167508147273685,1280.8378587755656,1925.8346650749445,"[1925.8346650749445, 2011.390332132578, 1924.9502252787352, 1929.801693186164, 1897.9015164077282]",train,1733.1476284909927,1973.302848637104
p07,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p07.json,0,922.4219640283262,11.190939108378277,1627.4511278561577,2358.336614444852,"[2358.336614444852, 2352.268351241946, 2395.976759493351, 2357.579305768013, 2378.529231995344]",train,2202.1624699829645,2358.336614444852
p21,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p21.json,0,1004.271904903171,11.432990937222188,1724.5503339481688,2570.27324475348,"[2570.27324475348, 2548.6989580094814, 2969.444189220667, 2591.5913246572018, 2518.519900739193]",train,2333.5508870364733,2712.1334932744503
p37,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p37.json,0,674.3248579214214,13.41167310776549,1519.2602637106472,2566.7057260870934,"[2566.7057260870934, 2516.265267506242, 2555.1574528217316, 2588.822688907385, 2590.4463455080986]",holdout,2055.765532748898,2238.153287480948
p05,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p05.json,0,967.9122873204167,11.432990937222188,1688.1907163654146,2333.1047538667917,"[2333.1047538667917, 2421.4427806437016, 2290.198802947998, 2306.1873018741608, 2376.462835818529]",holdout,2284.3513848866605,2641.669706441462
p24,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p24.json,0,1004.271904903171,10.605572734682935,1672.422987188196,2358.438717201352,"[2376.9499734044075, 2358.438717201352, 2339.8941196501255, 2389.0312872827053, 2347.3917320370674]",holdout,2263.015505217778,2641.669706441462
p18,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p18.json,0,994.805000903171,11.209297066153,1700.99071607081,2316.8268240988255,"[3566.8385177850723, 2414.4424069672823, 2296.7015374451876, 2316.8268240988255, 2301.613813266158]",holdout,2301.671523405442,2667.711349501312
p23,/root/wja/project/my/cospaq/fake/artifacts/debug/056_llama2_prefill_decode_b8_o64_canonical_pareto/llama2_7b_chat/speed/calibration/policies/p23.json,0,1004.271904903171,11.190939108378277,1709.3010687310025,2537.1197182685137,"[2505.4493341594934, 2543.0324375629425, 2568.4194527566433, 2537.1197182685137, 2523.216038942337]",holdout,2312.916559540386,2697.5067556152467
